,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.03771843951254481,0.05384039817759589,0.044809804661206015,0.007252120284062698
sanity.close_values_probability.score,0.958,0.976,0.9683999999999999,0.0072663608498339865
sanity.distant_values_probability.score,0.002,0.004,0.0024000000000000002,0.0008944271909999159
stats.jensenshannon_dist.marginal,0.01315849230588956,0.014493972785808183,0.013764202134047596,0.000522429931569182
stats.chi_squared_test.marginal,0.09596723463196224,0.2256594526723069,0.18020335879249133,0.05417268368739698
stats.inv_kl_divergence.marginal,0.802522628605404,0.8466648907385739,0.8266860741276532,0.016449958598288194
stats.ks_test.marginal,0.8515561349921776,0.8663431085043988,0.858477961918711,0.005603600807978226
stats.max_mean_discrepancy.joint,0.004221168647056944,0.004303613945800504,0.004260872358654517,3.3859068968599267e-05
stats.wasserstein_dist.joint,0.4875582701076404,0.533931010571933,0.5073207794641572,0.01928261973171447
stats.alpha_precision.delta_precision_alpha_OC,0.5498470948012233,0.825897577527026,0.6488070630960648,0.10463826893838507
stats.alpha_precision.delta_coverage_beta_OC,0.32201834862385326,0.39876828329484226,0.3686063937161017,0.0306878400724632
stats.alpha_precision.authenticity_OC,0.5159090909090909,0.5894495412844036,0.5535481909479716,0.030582461169659663
stats.alpha_precision.delta_precision_alpha_naive,0.609090909090909,0.662090007627765,0.6351924864215499,0.01948657933607464
stats.alpha_precision.delta_coverage_beta_naive,0.4999237223493517,0.549848484848485,0.5177307106040815,0.02018226702285068
stats.alpha_precision.authenticity_naive,0.40274599542334094,0.4457274826789838,0.4213877731851022,0.01730292003280742
stats.prdc.precision,0.9861431870669746,0.9977272727272727,0.9931169062415375,0.004630821853840266
stats.prdc.recall,0.942,0.976,0.9591999999999998,0.013682105101189668
stats.prdc.density,1.0854503464203233,1.1385321100917432,1.11056079336191,0.021418425079180046
stats.prdc.coverage,0.898,0.952,0.9236000000000001,0.02118490028298456
performance.linear_model.gt,0.9875653606553435,0.9875653606553435,0.9875653606553435,0.0
performance.linear_model.syn_id,0.978692124445019,0.9892017545634622,0.9851925955723517,0.003935080261300831
performance.linear_model.syn_ood,0.9775440490211288,0.9890276038832916,0.9848785214999136,0.004386464835703759
performance.mlp.gt,0.6798,0.6798,0.6798,0.0
performance.mlp.syn_id,0.5,0.8696005409060176,0.5739201081812035,0.1652903867973094
performance.mlp.syn_ood,0.5,0.9163449163449163,0.5832689832689832,0.18619510700673925
performance.xgb.gt,0.9914218123046646,0.9914218123046646,0.9914218123046646,0.0
performance.xgb.syn_id,0.9838771087841918,0.9926958203309175,0.9874932270033072,0.003473346967973278
performance.xgb.syn_ood,0.9842237095208233,0.9925435865164219,0.9877378712692805,0.003137304517520726
performance.feat_rank_distance.corr,0.17131313131313136,0.2868686868686869,0.24307070707070713,0.04428861570969995
performance.feat_rank_distance.pvalue,2.3480972625105336e-05,0.011555251306356396,0.002472728130870312,0.0050812368996465095
detection.detection_xgb.mean,0.8237881400208986,0.8726136363636364,0.8477539537313795,0.01840333102044675
detection.detection_mlp.mean,0.4764224137931034,0.48880459770114937,0.48151609195402295,0.006281058053312643
detection.detection_gmm.mean,0.4891931818181818,0.5254151296444801,0.5075090708609755,0.013491098758772795
detection.detection_linear.mean,0.7579670846394984,0.7930250783699059,0.7723658768924205,0.015572939167947058
privacy.delta-presence.score,4.4999999775,8.999999910000001,7.37999993934,2.2409818884569335
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.20000001,0.4472135954999579
privacy.k-map.score,1.0,2.0,1.4,0.5477225575051661
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.20000001,0.4472135954999579
privacy.identifiability_score.,0.438,0.502,0.48119999999999996,0.026855167100578618
privacy.identifiability_score._privacy.identifiability_score.OC,0.388,0.448,0.42040000000000005,0.02772724292099739
