,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.03450782099500548,0.046707811570278125,0.04140187640489305,0.004433279107367502
sanity.close_values_probability.score,0.966,0.976,0.9708,0.004147288270665548
sanity.distant_values_probability.score,0.002,0.004,0.0028,0.0010954451150103322
stats.jensenshannon_dist.marginal,0.014112137702241748,0.016315859963369216,0.014905441139088723,0.0008443373694934146
stats.chi_squared_test.marginal,0.1284654954168714,0.19346090150170497,0.15404092862472835,0.02703630412912554
stats.inv_kl_divergence.marginal,0.7770671474541879,0.8253689009703551,0.8051988502892125,0.017958756844829716
stats.ks_test.marginal,0.838970109499852,0.8569169989126494,0.8512164836677911,0.007131812364856739
stats.max_mean_discrepancy.joint,0.004209129841101892,0.004286234267780621,0.004261023834963122,3.0291419968515193e-05
stats.wasserstein_dist.joint,0.45099241291945974,0.5236582426072222,0.49238471818134055,0.02726759359604047
stats.alpha_precision.delta_precision_alpha_OC,0.6229213483146068,0.7813211845102506,0.7099998473081305,0.06706951285183808
stats.alpha_precision.delta_coverage_beta_OC,0.37348314606741584,0.4461655277145026,0.39281384248983625,0.030482134147278187
stats.alpha_precision.authenticity_OC,0.5213483146067416,0.5535307517084282,0.5318378971002817,0.013362056152011364
stats.alpha_precision.delta_precision_alpha_naive,0.5570336391437308,0.6150341685649203,0.5862956183813698,0.025266536838745034
stats.alpha_precision.delta_coverage_beta_naive,0.4677296886864085,0.5201214882308276,0.49465925278609946,0.021887736022747715
stats.alpha_precision.authenticity_naive,0.42596810933940776,0.48299319727891155,0.45139325354225246,0.022539800078411325
stats.prdc.precision,0.9931192660550459,0.9955056179775281,0.9949956238656423,0.001049215636218516
stats.prdc.recall,0.932,0.972,0.9555999999999999,0.015773395322504255
stats.prdc.density,1.0788154897494306,1.131685393258427,1.1049128446668541,0.023045068790491802
stats.prdc.coverage,0.874,0.938,0.9036,0.0240582626139129
performance.linear_model.gt,0.9875653606553435,0.9875653606553435,0.9875653606553435,0.0
performance.linear_model.syn_id,0.9550731848704388,0.9871524637975613,0.9769754244949438,0.013184625375857706
performance.linear_model.syn_ood,0.9543240912510861,0.9868022643065087,0.9764266449325871,0.013249928561177345
performance.mlp.gt,0.6798,0.6798,0.6798,0.0
performance.mlp.syn_id,0.5,0.5,0.5,0.0
performance.mlp.syn_ood,0.5,0.5,0.5,0.0
performance.xgb.gt,0.9914218123046646,0.9914218123046646,0.9914218123046646,0.0
performance.xgb.syn_id,0.9786010504666084,0.98988673744583,0.9837229758206256,0.004891338183521405
performance.xgb.syn_ood,0.9776262073375825,0.989976867481112,0.9836614349008237,0.005208497992084928
performance.feat_rank_distance.corr,0.13333333333333336,0.40040404040404043,0.27894949494949495,0.09544277625055994
performance.feat_rank_distance.pvalue,3.5775749234312135e-09,0.049349796073035045,0.009886441447666112,0.022060692186370807
detection.detection_xgb.mean,0.8491123595505619,0.8926564785788924,0.8776613695067687,0.017568245458060676
detection.detection_mlp.mean,0.4768850574712644,0.4971022727272727,0.4837458061827105,0.008052919755610108
detection.detection_gmm.mean,0.49190679264555676,0.5272613636363637,0.5055811515973373,0.015235618173211311
detection.detection_linear.mean,0.7645203761755486,0.7902646290491118,0.7798869471546148,0.00939524955222677
privacy.delta-presence.score,5.333333315555556,15.999999840000003,8.866666593111113,4.253103390109741
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.k-map.score,1.0,2.0,1.2,0.4472135954999579
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0
privacy.identifiability_score.,0.452,0.492,0.4744,0.01818790807102344
privacy.identifiability_score._privacy.identifiability_score.OC,0.378,0.442,0.4152,0.028057084666800285
