,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.04639264299644694,0.06268326480627275,0.05323191372800368,0.006399824536685101
sanity.close_values_probability.score,0.946,0.968,0.9568,0.007823042886243185
sanity.distant_values_probability.score,0.002,0.004,0.0032,0.0010954451150103322
stats.jensenshannon_dist.marginal,0.007589943300368823,0.01201738096461669,0.009460129605298151,0.0019783901640810305
stats.chi_squared_test.marginal,0.030149268421865417,0.25506645532895306,0.12016644429766188,0.08656045274903555
stats.inv_kl_divergence.marginal,0.5923173408697495,0.8669296970284704,0.7773633514231486,0.11807414657159715
stats.ks_test.marginal,0.8685232974910393,0.9075161290322582,0.8924843242673413,0.016786498493100047
stats.max_mean_discrepancy.joint,0.006166632727782755,0.018545687012994617,0.010778868406074584,0.005040722140890408
stats.wasserstein_dist.joint,2.161216990028108,3.9508312961203806,3.1056620724635637,0.7131250079821098
stats.alpha_precision.delta_precision_alpha_OC,0.6255555555555555,0.8239891818796484,0.7131982195176922,0.08594206271558617
stats.alpha_precision.delta_coverage_beta_OC,0.37411764705882355,0.5391666666666667,0.4695578844564645,0.06134832998336617
stats.alpha_precision.authenticity_OC,0.4166666666666667,0.6,0.48335784313725494,0.06872587917011122
stats.alpha_precision.delta_precision_alpha_naive,0.8422222222222222,0.9333333333333333,0.8804729922620389,0.03897331468865404
stats.alpha_precision.delta_coverage_beta_naive,0.5303703703703703,0.5794444444444445,0.561387855908647,0.019494520558533464
stats.alpha_precision.authenticity_naive,0.3588235294117647,0.5111111111111111,0.4294035947712418,0.07177757442185011
stats.prdc.precision,0.9958333333333333,1.0,0.9991666666666668,0.0018633899812498182
stats.prdc.recall,0.974,0.994,0.9847999999999999,0.007823042886243185
stats.prdc.density,1.0622222222222222,1.1300000000000001,1.1042385620915032,0.027069540992665408
stats.prdc.coverage,0.482,0.904,0.7144,0.18783716352202512
performance.linear_model.gt,0.9875653606553435,0.9875653606553435,0.9875653606553435,0.0
performance.linear_model.syn_id,0.9709824915368512,0.9835661573171265,0.9785334385926647,0.0050748610660049384
performance.linear_model.syn_ood,0.9718136521192549,0.984131536338667,0.9790134374005343,0.005088670227892708
performance.mlp.gt,0.6798,0.6798,0.6798,0.0
performance.mlp.syn_id,0.5,0.9632576064908722,0.5986358350236646,0.20424113841651803
performance.mlp.syn_ood,0.5,0.9577434577434577,0.6026598026598027,0.1999501922037554
performance.xgb.gt,0.9914218123046646,0.9914218123046646,0.9914218123046646,0.0
performance.xgb.syn_id,0.982793734296114,0.98958695405325,0.9862841615063933,0.003027204896709304
performance.xgb.syn_ood,0.9810162211690224,0.9900526527012096,0.9862916736770726,0.0038021209288544196
performance.feat_rank_distance.corr,0.22330964701707234,0.39272727272727276,0.32549027607339615,0.06651285087979851
performance.feat_rank_distance.pvalue,7.061347537492122e-09,0.001059673031014755,0.00021325715057256986,0.00047316401908767614
detection.detection_xgb.mean,0.4880625,0.7581666666666667,0.6178855392156862,0.10111297296338692
detection.detection_mlp.mean,0.4678333333333334,0.5013235294117646,0.49308553921568626,0.014164048699262292
detection.detection_gmm.mean,0.4496666666666666,0.5036764705882353,0.4824498774509804,0.020822517414772184
detection.detection_linear.mean,0.5701666666666667,0.7286666666666667,0.6304382352941177,0.06542902872490663
privacy.delta-presence.score,5.333333315555556,32.99999967000001,16.666666507111113,10.78836810456659
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,3.00000001,1.4000000099999999,0.8944271909999159
privacy.k-map.score,1.0,2.0,1.2,0.4472135954999579
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,3.00000001,1.4000000099999999,0.8944271909999159
privacy.identifiability_score.,0.116,0.398,0.2696,0.11309641904145332
privacy.identifiability_score._privacy.identifiability_score.OC,0.13,0.33,0.22559999999999997,0.08304697465892422
