,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.04091614585563311,0.09623547980806196,0.05914018792622026,0.02448336043537457
sanity.close_values_probability.score,0.9140271493212669,0.9886877828054299,0.9588235294117646,0.03428926912594222
sanity.distant_values_probability.score,0.0022624434389140274,0.0022624434389140274,0.0022624434389140274,0.0
stats.jensenshannon_dist.marginal,0.019340020801271035,0.021368172107537133,0.020824975184152127,0.0008395575336047185
stats.chi_squared_test.marginal,0.5454544328080257,0.9090908131975937,0.7818180608591911,0.1521200055380165
stats.inv_kl_divergence.marginal,0.8846571553091159,0.9430907872226559,0.9155522927541051,0.024943832903917003
stats.ks_test.marginal,0.8342072306778189,0.8496238402120754,0.8427677963954545,0.0060456882952455845
stats.max_mean_discrepancy.joint,0.007767714138248815,0.009592056903744343,0.008713988544787079,0.0006999314148526147
stats.wasserstein_dist.joint,0.0473038408538079,0.06363481410650708,0.05731448952774051,0.006298317812632789
stats.alpha_precision.delta_precision_alpha_OC,0.8975295157850939,0.9441118077324974,0.9224954157907128,0.020701270174928003
stats.alpha_precision.delta_coverage_beta_OC,0.45882352941176463,0.5436363636363637,0.5071893724150905,0.03723048638693875
stats.alpha_precision.authenticity_OC,0.4660633484162896,0.5720930232558139,0.52527833315795,0.04520930668836226
stats.alpha_precision.delta_precision_alpha_naive,0.907843137254902,0.966895511520258,0.9474968896694451,0.02346371845180677
stats.alpha_precision.delta_coverage_beta_naive,0.4788838612368024,0.6040723981900453,0.5406427252637923,0.05321420904447914
stats.alpha_precision.authenticity_naive,0.36199095022624433,0.43665158371040724,0.39207001616714343,0.027830824978564685
stats.prdc.precision,0.9955555555555555,1.0,0.9991111111111112,0.001987615979999826
stats.prdc.recall,0.9728506787330317,0.9909502262443439,0.9805429864253394,0.007082568254524237
stats.prdc.density,1.012,1.0474418604651163,1.0307691801738312,0.014559568293744444
stats.prdc.coverage,0.8981900452488688,0.9411764705882353,0.9176470588235294,0.01749557912143095
performance.linear_model.gt,0.4615915219726737,0.4615915219726737,0.4615915219726737,0.0
performance.linear_model.syn_id,0.4169164926770465,0.48643806785024885,0.45547950529829323,0.028815162084928587
performance.linear_model.syn_ood,0.3818674460178909,0.4602212674746583,0.4248621018894417,0.03266817307622767
performance.mlp.gt,-0.09540591030091725,-0.09540591030091725,-0.09540591030091725,0.0
performance.mlp.syn_id,-0.13231761756255003,-0.07297285641105147,-0.10494122010182574,0.021571116914525363
performance.mlp.syn_ood,-0.32503106930933723,-0.2507947839159801,-0.29158684793475287,0.028125195902908174
performance.xgb.gt,0.26218115157827715,0.26218115157827715,0.26218115157827715,0.0
performance.xgb.syn_id,0.37578175763676847,0.5461984656282063,0.48154101255404413,0.07074099238984384
performance.xgb.syn_ood,0.3328428565716345,0.5195226882330717,0.44847672315407217,0.07792374447836271
performance.feat_rank_distance.corr,0.37777777777777777,0.7333333333333333,0.5466666666666666,0.13480667456091644
performance.feat_rank_distance.pvalue,0.002212852733686067,0.1557418430335097,0.05515608465608466,0.06206697064978991
detection.detection_xgb.mean,0.9962372615625817,1.0,0.998937839328746,0.0016518004634042721
detection.detection_mlp.mean,0.44448045585196094,0.4966136079900124,0.4736291933876619,0.019811209994333397
detection.detection_gmm.mean,0.4702042307052759,0.5629485869935309,0.5099260284028972,0.035811644356015734
detection.detection_linear.mean,0.536230907190536,0.5645610600385882,0.5453031427777549,0.011487637742168991
privacy.delta-presence.score,2.2222222197530863,2.533333331644444,2.417777774918395,0.13439393009418676
privacy.k-anonymization.gt,14.0,14.0,14.0,0.0
privacy.k-anonymization.syn,1.00000001,8.00000001,4.000000010000001,2.6457513110645907
privacy.k-map.score,6.0,8.0,7.4,0.8944271909999159
privacy.distinct l-diversity.gt,14.0,14.0,14.0,0.0
privacy.distinct l-diversity.syn,1.00000001,8.00000001,4.000000010000001,2.6457513110645907
privacy.identifiability_score.,0.3733031674208145,0.4343891402714932,0.4081447963800905,0.024398750614557308
privacy.identifiability_score._privacy.identifiability_score.OC,0.4819004524886878,0.5565610859728507,0.5085972850678733,0.02868043070641758
