,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.14666666665688888,0.22666666665155555,0.19333333332044444,0.032317865713954334
sanity.nearest_syn_neighbor_distance.mean,0.168608314974797,0.3374935424451804,0.2693170001527572,0.06307924205160234
sanity.close_values_probability.score,0.24,0.6733333333333333,0.39333333333333337,0.16706618781522223
sanity.distant_values_probability.score,0.006666666666666667,0.04,0.02266666666666667,0.01673320053068151
stats.jensenshannon_dist.marginal,0.006417904137817135,0.007929948179578794,0.007354754300228352,0.0005670489806066012
stats.chi_squared_test.marginal,0.39975926656165717,0.7994654602382146,0.5996063096368407,0.14131793369636536
stats.inv_kl_divergence.marginal,0.8538607822690487,0.910226868117166,0.8723380900372009,0.023460457872743163
stats.ks_test.marginal,0.9466666666666665,0.9573333333333334,0.9536,0.004152643067306019
stats.max_mean_discrepancy.joint,0.005052464669432155,0.006433478197770959,0.005634224473380756,0.0005947141408468772
stats.wasserstein_dist.joint,0.0033635516949985633,0.004416916837465164,0.003868657913586033,0.00043295539163982707
stats.alpha_precision.delta_precision_alpha_OC,0.880567049808429,0.9553103448275863,0.9150712643678162,0.029125029777691026
stats.alpha_precision.delta_coverage_beta_OC,0.6146666666666667,0.7875555555555556,0.7119724137931035,0.06457552184201235
stats.alpha_precision.authenticity_OC,0.32,0.42,0.37866666666666665,0.03983298465677241
stats.alpha_precision.delta_precision_alpha_naive,0.9293486590038313,0.9699157088122605,0.9531586206896551,0.015967894713229742
stats.alpha_precision.delta_coverage_beta_naive,0.5702222222222222,0.7045977011494253,0.644119540229885,0.058554838830640055
stats.alpha_precision.authenticity_naive,0.3466666666666667,0.44666666666666666,0.392,0.03927113726672837
stats.prdc.precision,0.96,0.9933333333333333,0.9813333333333333,0.01366260102127946
stats.prdc.recall,0.9466666666666667,0.9666666666666667,0.9546666666666667,0.008692269873603532
stats.prdc.density,1.0173333333333334,1.1306666666666667,1.0869333333333333,0.04200952272997157
stats.prdc.coverage,0.98,1.0,0.992,0.008692269873603532
performance.linear_model.gt,0.9978888888888889,0.9978888888888889,0.9978888888888889,0.0
performance.linear_model.syn_id,0.9959166666666667,0.9978194444444444,0.9971875000000001,0.0007544236824176413
performance.linear_model.syn_ood,0.9953333333333333,0.9974444444444444,0.9965999999999999,0.0008073734277593331
performance.mlp.gt,0.8325520833333334,0.8325520833333334,0.8325520833333334,0.0
performance.mlp.syn_id,0.7456597222222222,0.8237847222222221,0.7960763888888888,0.02997711439002722
performance.mlp.syn_ood,0.7205555555555555,0.8833333333333332,0.7954444444444444,0.06774293275517086
performance.xgb.gt,0.978111111111111,0.978111111111111,0.978111111111111,0.0
performance.xgb.syn_id,0.9872916666666667,0.9921458333333334,0.9896194444444445,0.0017389241099556912
performance.xgb.syn_ood,0.9866666666666667,0.9901111111111112,0.9886444444444444,0.0012895592126626078
performance.feat_rank_distance.corr,0.5025028424858281,0.6351563844717653,0.5495309930740412,0.05369460230963671
performance.feat_rank_distance.pvalue,6.600739786991405e-17,4.7434119184266525e-11,1.3161089418597633e-11,2.036680274638035e-11
detection.detection_xgb.mean,0.37688888888888883,0.4304444444444444,0.40459999999999996,0.021514795368608237
detection.detection_mlp.mean,0.2733333333333333,0.311,0.28584444444444446,0.015464136127596652
detection.detection_gmm.mean,0.5177777777777778,0.5944444444444444,0.5528444444444445,0.035197730706873445
detection.detection_linear.mean,0.2188888888888889,0.2502222222222222,0.23151111111111108,0.012894299630571739
privacy.delta-presence.score,2.249999994375,2.99999999,2.69999998975,0.4107919139068466
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0
privacy.k-anonymization.syn,1.00000001,2.00000001,1.60000001,0.5477225575051661
privacy.k-map.score,1.0,2.0,1.8,0.4472135954999579
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.60000001,0.5477225575051661
privacy.identifiability_score.,0.54,0.5866666666666667,0.5706666666666667,0.018012341448141712
privacy.identifiability_score._privacy.identifiability_score.OC,0.48,0.5266666666666666,0.5053333333333334,0.016599866130651637
