,min,max,mean,stddev
sanity.data_mismatch.score,0.0,0.0,0.0,0.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,0.05122374783136763,0.13984359855686587,0.11184201325192697,0.03520611276686469
sanity.close_values_probability.score,0.8146067415730337,0.9719101123595506,0.8775280898876403,0.05910902668567479
sanity.distant_values_probability.score,0.0056179775280898875,0.016853932584269662,0.011235955056179775,0.003972510006665997
stats.jensenshannon_dist.marginal,0.019487375701436317,0.023760968474501352,0.021508463653714803,0.0018775344652685229
stats.chi_squared_test.marginal,0.06851414466951046,0.21264179918455778,0.16789334523684257,0.06413347890234997
stats.inv_kl_divergence.marginal,0.4962752358222885,0.6585415695423518,0.58927613534177,0.06817467964308102
stats.ks_test.marginal,0.780350454788657,0.815079365079365,0.7976235063313715,0.013402185044226557
stats.max_mean_discrepancy.joint,0.011170605876417966,0.011364807125660788,0.011233001226859694,8.540529538526982e-05
stats.wasserstein_dist.joint,0.10705105485449658,0.12595304224341963,0.11732493410463918,0.009492954856517534
stats.alpha_precision.delta_precision_alpha_OC,0.9324938654268371,0.9623918377889707,0.9492418959059796,0.011990460394048932
stats.alpha_precision.delta_coverage_beta_OC,0.48689138576779023,0.5734082397003746,0.5352059925093633,0.03810297743328808
stats.alpha_precision.authenticity_OC,0.47752808988764045,0.5898876404494382,0.5168539325842697,0.04333496803522897
stats.alpha_precision.delta_precision_alpha_naive,0.28614232209737833,0.41760299625468167,0.3439700374531835,0.06293728619264491
stats.alpha_precision.delta_coverage_beta_naive,0.3936329588014982,0.5179775280898877,0.4659176029962547,0.05729174198424237
stats.alpha_precision.authenticity_naive,0.43820224719101125,0.5617977528089888,0.504494382022472,0.04466203800977932
stats.prdc.precision,0.9888888888888889,1.0,0.9977777777777778,0.0049690399499995146
stats.prdc.recall,0.9101123595505618,0.9719101123595506,0.9370786516853933,0.02226023905186401
stats.prdc.density,1.041111111111111,1.1111111111111112,1.0646666666666669,0.027682057298840643
stats.prdc.coverage,0.8932584269662921,0.9550561797752809,0.9269662921348315,0.02282033259729203
performance.linear_model.gt,0.9858585285966239,0.9858585285966239,0.9858585285966239,0.0
performance.linear_model.syn_id,0.9800982454897277,0.9913079987003535,0.9861716357285001,0.004102386169761331
performance.linear_model.syn_ood,0.9807569916855631,0.9906200554295793,0.9850300957420005,0.003688964558675929
performance.mlp.gt,0.5422987090198743,0.5422987090198743,0.5422987090198743,0.0
performance.mlp.syn_id,0.5181957369749327,0.53738799473416,0.5313824649955106,0.008715104829303945
performance.mlp.syn_ood,0.4992283950617284,0.5403163580246914,0.5282021604938272,0.016457991479493936
performance.xgb.gt,0.9968163265306123,0.9968163265306123,0.9968163265306123,0.0
performance.xgb.syn_id,0.9777842065254168,0.9939593586781749,0.988054001784128,0.006062452593314373
performance.xgb.syn_ood,0.9764237213403879,0.9937802343159486,0.9869729402872262,0.006504844985439864
performance.feat_rank_distance.corr,0.1613659780524072,0.38532923102114297,0.33342421731773103,0.09641940398994549
performance.feat_rank_distance.pvalue,3.643791624504137e-09,0.013442433452337218,0.0026884944355576043,0.006011634666853915
detection.detection_xgb.mean,0.8257407407407408,0.9039947089947089,0.8627328042328042,0.03265898112394996
detection.detection_mlp.mean,0.442799823633157,0.4723809523809524,0.4632107583774251,0.01176681061927054
detection.detection_gmm.mean,0.5299581128747796,0.6331018518518519,0.5779281305114639,0.03791585118300141
detection.detection_linear.mean,0.31129188712522043,0.3695811287477954,0.3448783068783069,0.027309619861770756
privacy.delta-presence.score,4.999999975000001,9.999999900000002,7.283333284347224,1.9751933472582488
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0
privacy.k-anonymization.syn,1.00000001,4.00000001,2.00000001,1.224744871391589
privacy.k-map.score,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0
privacy.distinct l-diversity.syn,1.00000001,4.00000001,2.00000001,1.224744871391589
privacy.identifiability_score.,0.39325842696629215,0.4887640449438202,0.4438202247191011,0.03851491348539911
privacy.identifiability_score._privacy.identifiability_score.OC,0.449438202247191,0.5280898876404494,0.4898876404494382,0.03539771685847947
