,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.07381201702243285,0.11579741277442142,0.09087720317674938,0.014094009415980146,0.08671902717936746,0.010662486958557024,5,0,0.0,minimize
sanity.close_values_probability.score,0.9411764705882353,0.9607843137254902,0.9490196078431372,0.009605842128561503,0.9411764705882353,0.019607843137254943,5,0,0.0,maximize
sanity.distant_values_probability.score,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0,0.0196078431372549,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.030587052535515327,0.03619236668461776,0.033849463499197895,0.0022527329258891266,0.03529571437163338,0.003744632642881912,5,0,0.06,minimize
stats.chi_squared_test.marginal,0.06660752087050921,0.2664633482036004,0.17314650063463388,0.0903086795511107,0.19977454269950046,0.19960354670200636,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.4943774674384565,0.580490667467176,0.5369943758835223,0.03443618620642225,0.5380209368763923,0.06660714971057358,5,0,0.01,maximize
stats.ks_test.marginal,0.7424836601307191,0.7660130718954247,0.7498039215686274,0.008772790449967198,0.7464052287581702,0.009150326797385366,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.039215686274425884,0.03921568627447064,0.03921568627443931,1.682065885803195e-14,0.03921568627443148,1.6778245459647678e-14,5,0,0.0,minimize
stats.wasserstein_dist.joint,0.5996225997851523,1.096753044870332,0.7953871745694286,0.17134658194413457,0.7454832246457823,0.16499453218799043,5,0,0.01,minimize
stats.prdc.precision,0.29411764705882354,0.3333333333333333,0.3137254901960784,0.01753778805882187,0.3137254901960784,0.039215686274509776,5,0,0.01,maximize
stats.prdc.recall,0.9607843137254902,0.9803921568627451,0.968627450980392,0.00960584212856145,0.9607843137254902,0.019607843137254832,5,0,0.01,maximize
stats.prdc.density,0.10588235294117648,0.1568627450980392,0.13098039215686275,0.019147538220758743,0.12549019607843137,0.03137254901960783,5,0,0.01,maximize
stats.prdc.coverage,0.13725490196078433,0.21568627450980393,0.17254901960784313,0.026012743453767844,0.17647058823529413,0.019607843137254916,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.05490196078431375,0.10849673202614374,0.07764705882352937,0.019937961793398778,0.07320261437908493,0.03137254901960773,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.036601307189542465,0.007320261437908493,0.014640522875816986,0.0,0.0,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.9607843137254902,1.0,0.9921568627450981,0.01568627450980391,1.0,0.0,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.1398692810457517,0.18562091503267963,0.15450980392156863,0.016103386765421637,0.15032679738562094,0.006535947712418277,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.018300653594771288,0.003921568627450989,0.0072073457527269316,0.0,0.0013071895424836555,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.8823529411764706,1.0,0.9450980392156862,0.04187089510600515,0.9411764705882353,0.05882352941176472,5,0,0.1,maximize
performance.linear_model.gt,0.9961102909807574,0.9983946567141698,0.9975437982119557,0.0007620230551626899,0.9977665379130943,0.00014221309140849403,5,0,0.02,maximize
performance.linear_model.syn_id,-0.9113412974564538,0.27139186559552914,-0.2878933061483509,0.4853977337894258,-0.11673954493676715,0.9397343857353473,5,0,0.02,maximize
performance.linear_model.syn_ood,-2.1970685584224054,-0.294912954097603,-1.0063797597294775,0.7157136748118936,-0.5646418591559639,0.939649497756468,5,0,0.02,maximize
performance.mlp.gt,0.2337244976857489,0.5289121735745869,0.35841140193807175,0.12613566863879896,0.2863576889307223,0.24247760715909594,5,0,8.29,maximize
performance.mlp.syn_id,-2.1967571214133352,0.19984270761256917,-0.6418161088751698,0.8766221597281609,-0.14136753394859256,0.9412790101783666,5,0,8.29,maximize
performance.mlp.syn_ood,-4.392833434298045,-0.8528504514427668,-2.000630482947904,1.3293857811039265,-1.3833360403354868,1.5611542662261262,5,0,8.29,maximize
performance.xgb.gt,0.813041353838952,0.8928409449891369,0.8501194732720672,0.025752558036009628,0.8478028354323871,0.014502400852574149,5,0,0.37,maximize
performance.xgb.syn_id,-3.181272286439002,-0.5007751801630763,-2.1423400584722367,1.0551085732840895,-2.5334739142269833,1.798223300876834,5,0,0.37,maximize
performance.xgb.syn_ood,-6.395390154944205,-2.501537116254258,-4.518942274997989,1.4368930688628512,-4.908673401929521,2.2580937407437367,5,0,0.37,maximize
performance.feat_rank_distance.corr,-0.23076923076923078,0.2967032967032967,0.08571428571428573,0.21016321912759423,0.23076923076923078,0.3296703296703297,5,0,0.08,minimize
performance.feat_rank_distance.pvalue,0.15716301603764402,0.667174486232646,0.3323753650541845,0.17394201988370595,0.2791797743335442,0.0,5,0,0.08,minimize
detection.detection_xgb.mean,0.8638985005767013,0.9019607843137255,0.8786620530565166,0.013077774194286844,0.8742791234140714,0.011534025374855705,5,0,0.11,minimize
detection.detection_mlp.mean,0.38581314878892736,0.6228373702422145,0.479123414071511,0.0804603888177618,0.44752018454440606,0.060553633217993064,5,0,1.08,minimize
detection.detection_gmm.mean,0.36274509803921573,0.5,0.4457900807381776,0.06263411210040265,0.4901960784313726,0.12399077277970011,5,0,0.04,minimize
detection.detection_linear.mean,0.33217993079584773,0.5605536332179931,0.4747404844290658,0.07980545436736756,0.4959630911188005,0.07843137254901972,5,0,0.25,minimize
privacy.delta-presence.score,1.266666665822222,1.461538460414201,1.376043954935189,0.07584650442369821,1.3571428561734693,0.12820512856234934,5,0,0.01,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.02,maximize
privacy.k-anonymization.syn,1.00000001,7.00000001,5.20000001,2.2271057451320084,6.00000001,2.0,5,0,0.02,maximize
privacy.k-map.score,8.0,10.0,9.4,0.8,10.0,1.0,5,0,0.01,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.02,maximize
privacy.distinct l-diversity.syn,1.00000001,7.00000001,5.20000001,2.2271057451320084,6.00000001,2.0,5,0,0.02,maximize
privacy.identifiability_score.score,0.0196078431372549,0.0392156862745098,0.027450980392156866,0.009605842128561482,0.0196078431372549,0.0196078431372549,5,0,0.02,minimize
privacy.identifiability_score.score_OC,0.0,0.0196078431372549,0.00392156862745098,0.00784313725490196,0.0,0.0,5,0,0.02,minimize
