,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.08771052399820306,0.09275936458592293,0.08954825191544859,0.0017211664726125469,0.08935828695942391,0.0008800610878777759,5,0,0.0,minimize
sanity.close_values_probability.score,0.9215686274509803,0.9215686274509803,0.9215686274509803,0.0,0.9215686274509803,0.0,5,0,0.0,maximize
sanity.distant_values_probability.score,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0,0.0196078431372549,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.047466932946800246,0.04901789268642593,0.048069589108799264,0.0005287777539369449,0.04792269775989152,0.00043411147173315345,5,0,0.05,minimize
stats.chi_squared_test.marginal,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.09548853924585647,0.10379093569194217,0.10055641469505971,0.0029853062115911657,0.10164413306468548,0.0037292520433416243,5,0,0.01,maximize
stats.ks_test.marginal,0.5803921568627451,0.6052287581699346,0.5950326797385621,0.00856782724610399,0.596078431372549,0.009150326797385588,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.039338403160766845,0.04088170292091805,0.04023174644257577,0.0005735424360348291,0.04007518734810725,0.0007996997887622578,5,0,0.01,minimize
stats.wasserstein_dist.joint,0.18856812621686317,0.19537633084742195,0.191140260799979,0.002756998794709902,0.1897192795111327,0.004774169000090478,5,0,0.01,minimize
stats.prdc.precision,0.8823529411764706,0.9411764705882353,0.9176470588235294,0.022866478019001178,0.9215686274509803,0.039215686274509776,5,0,0.01,maximize
stats.prdc.recall,0.39215686274509803,0.5882352941176471,0.48235294117647054,0.06514999108171039,0.47058823529411764,0.05882352941176466,5,0,0.01,maximize
stats.prdc.density,0.8980392156862745,1.035294117647059,0.9670588235294117,0.0564814804310238,0.9921568627450981,0.10588235294117643,5,0,0.01,maximize
stats.prdc.coverage,0.5882352941176471,0.6274509803921569,0.6078431372549019,0.0124010888634054,0.6078431372549019,0.0,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.27450980392156865,0.41437908496732034,0.3511111111111111,0.048132983938781945,0.3555555555555555,0.05751633986928095,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.2013071895424836,0.34509803921568627,0.2579130042821727,0.05352352734327101,0.2405228758169936,0.07910750507099396,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.5098039215686274,0.7843137254901961,0.6039215686274509,0.10696613095675181,0.5490196078431373,0.1568627450980392,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.30196078431372564,0.4130718954248366,0.367843137254902,0.03790939823133613,0.36993464052287595,0.0352941176470587,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.26013071895424844,0.3986928104575165,0.3381744421906695,0.04842323812811046,0.3536173089925626,0.05882352941176472,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.5098039215686274,0.6862745098039216,0.584313725490196,0.05998846486579747,0.5686274509803921,0.05882352941176461,5,0,0.1,maximize
performance.linear_model.gt,0.9961102909807574,0.9983946567141698,0.9975437982119557,0.0007620230551626899,0.9977665379130943,0.00014221309140849403,5,0,0.02,maximize
performance.linear_model.syn_id,-1.647306249072238,0.8165465658935829,-0.28079216303324833,0.8253158953044079,-0.17093229072382074,0.7867130334144012,5,0,0.02,maximize
performance.linear_model.syn_ood,-4.589184878691656,-0.10926333109136976,-1.414184341267951,1.6336544101465378,-0.7192614143873008,0.880081827466362,5,0,0.02,maximize
performance.mlp.gt,0.2337244976857489,0.5289121735745869,0.35841140193807175,0.12613566863879896,0.2863576889307223,0.24247760715909594,5,0,6.46,maximize
performance.mlp.syn_id,-0.43958910296836606,0.5335906870619931,0.13180749143258275,0.32599435178854175,0.21565989507916014,0.25584793478648177,5,0,6.46,maximize
performance.mlp.syn_ood,-0.22210228514899666,0.26465049425175746,0.008224957916670394,0.19036943836757717,0.08948054069254807,0.316332178748049,5,0,6.46,maximize
performance.xgb.gt,0.813041353838952,0.8928409449891369,0.8501194732720672,0.025752558036009628,0.8478028354323871,0.014502400852574149,5,0,0.33,maximize
performance.xgb.syn_id,-1.5470088434433045,0.19672276667418132,-0.510582290804333,0.6594460079860237,-0.5566502569466283,1.0270140412408333,5,0,0.33,maximize
performance.xgb.syn_ood,-2.0363752716564805,-0.07837385175131062,-0.7985378284241766,0.7193772286963672,-0.8412968493197474,0.869217666989934,5,0,0.33,maximize
performance.feat_rank_distance.corr,-0.14285714285714285,0.2087912087912088,0.05054945054945056,0.11579727360280871,0.07692307692307693,0.08791208791208792,5,0,0.08,minimize
performance.feat_rank_distance.pvalue,0.3308114209974329,1.0,0.6526855050813384,0.2242512950129137,0.667174486232646,0.22893590125794983,5,0,0.08,minimize
detection.detection_xgb.mean,0.9907727797001152,0.9965397923875433,0.9935409457900807,0.0021392430208756266,0.9930795847750865,0.0034602076124566894,5,0,0.1,minimize
detection.detection_mlp.mean,0.3846597462514418,0.566320645905421,0.4755478662053057,0.06741299892962982,0.5,0.10322952710495964,5,0,1.02,minimize
detection.detection_gmm.mean,0.5,0.5588235294117647,0.5128027681660899,0.02309801974848255,0.5,0.00519031141868509,5,0,0.04,minimize
detection.detection_linear.mean,0.6747404844290658,0.7531718569780853,0.708881199538639,0.030512674996607057,0.6908881199538639,0.04844290657439454,5,0,0.25,minimize
privacy.delta-presence.score,0.9607843135371011,18.999999810000002,10.958823439651866,7.110627906043561,9.499999952500001,12.66666649777778,5,0,0.01,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.02,maximize
privacy.k-anonymization.syn,2.00000001,6.00000001,4.20000001,1.469693845669907,5.00000001,2.0,5,0,0.02,maximize
privacy.k-map.score,1.0,22.0,5.8,8.133879763065101,2.0,2.0,5,0,0.01,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.02,maximize
privacy.distinct l-diversity.syn,2.00000001,6.00000001,4.20000001,1.469693845669907,5.00000001,2.0,5,0,0.02,maximize
privacy.identifiability_score.score,0.17647058823529413,0.2549019607843137,0.21960784313725493,0.026012743453767834,0.21568627450980393,0.019607843137254888,5,0,0.02,minimize
privacy.identifiability_score.score_OC,0.23529411764705882,0.39215686274509803,0.30588235294117644,0.0534830654783759,0.29411764705882354,0.05882352941176466,5,0,0.02,minimize
