,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.06563441126004384,0.08901490587777161,0.07512094279295892,0.007621704879901537,0.0739817755318769,0.0012465615655983392,5,0,0.0,minimize
sanity.close_values_probability.score,0.9411764705882353,0.9607843137254902,0.9490196078431372,0.009605842128561503,0.9411764705882353,0.019607843137254943,5,0,0.0,maximize
sanity.distant_values_probability.score,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0,0.0196078431372549,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.019275454640496622,0.022560514981660715,0.02099570089414544,0.0011839552385129412,0.020997278543818568,0.001782706726994654,5,0,0.05,minimize
stats.chi_squared_test.marginal,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.31789002329955096,0.39158352326058854,0.35528042180510233,0.02613236301282989,0.3627490274325204,0.035281844846400456,5,0,0.01,maximize
stats.ks_test.marginal,0.7803921568627451,0.8248366013071898,0.8073202614379087,0.014872117807401806,0.8091503267973857,0.009150326797385588,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.03921568627435302,0.03921568627444266,0.03921568627441242,3.121982351544148e-14,0.03921568627442029,1.6785184353551585e-14,5,0,0.01,minimize
stats.wasserstein_dist.joint,0.18335624435963715,0.23224063683045607,0.20059237100296431,0.0201122554458027,0.18716140715927398,0.03295285000538839,5,0,0.01,minimize
stats.prdc.precision,0.7254901960784313,0.8431372549019608,0.7882352941176471,0.04187089510600515,0.7843137254901961,0.05882352941176472,5,0,0.01,maximize
stats.prdc.recall,0.7450980392156863,0.8431372549019608,0.7921568627450981,0.04037502016073332,0.803921568627451,0.07843137254901955,5,0,0.01,maximize
stats.prdc.density,0.4274509803921569,0.6000000000000001,0.5168627450980393,0.05668803450852599,0.5137254901960785,0.04705882352941182,5,0,0.01,maximize
stats.prdc.coverage,0.7058823529411765,0.8823529411764706,0.8,0.057367603287559944,0.803921568627451,0.039215686274509776,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.17124183006535953,0.30980392156862757,0.2499346405228759,0.05310730008091872,0.2431372549019607,0.08888888888888902,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.1215686274509804,0.2549019607843138,0.18614379084967322,0.04901943355088841,0.1660130718954249,0.07189542483660127,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.5490196078431373,0.8431372549019608,0.7019607843137254,0.11325120845642077,0.6470588235294118,0.17647058823529405,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.5764255127338291,0.7031327473518143,0.6493035835023665,0.04877483693737168,0.6763578994816317,0.07644805048456171,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.19999999999999996,0.4339869281045753,0.2783051611449178,0.08092231120090244,0.25165652467883715,0.027450980392156765,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.5294117647058824,0.6862745098039216,0.6196078431372549,0.054901960784313725,0.6078431372549019,0.05882352941176472,5,0,0.1,maximize
performance.linear_model.gt,0.9961102909807574,0.9983946567141698,0.9975437982119557,0.0007620230551626899,0.9977665379130943,0.00014221309140849403,5,0,0.02,maximize
performance.linear_model.syn_id,-0.3004404654717649,0.7202019598547335,0.25124715231652717,0.38775524010879464,0.2771082013667438,0.6711286010237725,5,0,0.02,maximize
performance.linear_model.syn_ood,-1.1709995868397307,0.36752192048488447,-0.2161588383122363,0.574773053022754,0.1296671358906566,0.7476626492773413,5,0,0.02,maximize
performance.mlp.gt,0.2337244976857489,0.5289121735745869,0.35841140193807175,0.12613566863879896,0.2863576889307223,0.24247760715909594,5,0,7.95,maximize
performance.mlp.syn_id,-0.3354869054265235,0.5976792691786229,0.18248279612009033,0.30030676161321074,0.20898766859867293,0.11514419710288698,5,0,7.95,maximize
performance.mlp.syn_ood,-1.1170030619416873,-0.23528568010674733,-0.611247202812786,0.3091800382219251,-0.554208878591977,0.38710550368138197,5,0,7.95,maximize
performance.xgb.gt,0.813041353838952,0.8928409449891369,0.8501194732720672,0.025752558036009628,0.8478028354323871,0.014502400852574149,5,0,0.38,maximize
performance.xgb.syn_id,-0.5120060644328341,0.32694604138973365,-0.0663425962849049,0.33238646227434093,0.10551748546595145,0.5699783711945624,5,0,0.38,maximize
performance.xgb.syn_ood,-2.272619877240055,0.43225690977823855,-0.9735892109920797,1.1620391751678645,-1.6246389205814582,2.243136219419518,5,0,0.38,maximize
performance.feat_rank_distance.corr,-0.14285714285714285,0.23076923076923078,0.015384615384615385,0.13718229920287678,0.03296703296703297,0.19780219780219782,5,0,0.08,minimize
performance.feat_rank_distance.pvalue,0.2791797743335442,0.9144846237132943,0.6099491302669625,0.21436698083028233,0.5906396351113613,0.22893590125794983,5,0,0.08,minimize
detection.detection_xgb.mean,0.6885813148788927,0.7577854671280276,0.7271049596309112,0.027378190448788704,0.726643598615917,0.05074971164936559,5,0,0.11,minimize
detection.detection_mlp.mean,0.3961937716262976,0.5,0.46528258362168395,0.03863536969434947,0.47693194925028837,0.046712802768166084,5,0,1.04,minimize
detection.detection_gmm.mean,0.5,0.5098039215686274,0.5019607843137255,0.0039215686274509665,0.5,0.0,5,0,0.04,minimize
detection.detection_linear.mean,0.5224913494809688,0.6839677047289504,0.5790080738177623,0.0572859173930904,0.5605536332179931,0.053056516724336755,5,0,0.29,minimize
privacy.delta-presence.score,1.8999999980999998,4.999999950000001,3.4428571286616334,1.0574516776765588,3.7999999924,1.0857142819918368,5,0,0.01,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.02,maximize
privacy.k-anonymization.syn,1.00000001,8.00000001,5.6000000100000005,2.4979991993593593,7.00000001,2.0,5,0,0.02,maximize
privacy.k-map.score,1.0,10.0,5.6,2.9393876913398134,5.0,2.0,5,0,0.01,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.02,maximize
privacy.distinct l-diversity.syn,1.00000001,8.00000001,5.6000000100000005,2.4979991993593593,7.00000001,2.0,5,0,0.02,maximize
privacy.identifiability_score.score,0.1568627450980392,0.23529411764705882,0.203921568627451,0.03185897413582729,0.21568627450980393,0.05882352941176469,5,0,0.02,minimize
privacy.identifiability_score.score_OC,0.19607843137254902,0.27450980392156865,0.2235294117647059,0.029346332445285825,0.21568627450980393,0.0392156862745098,5,0,0.02,minimize
