,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.0252005551623464,0.03269668700541986,0.02715928411969013,0.0028799688423875626,0.025314086958541628,0.0020319593517609535,5,0,0.01,minimize
sanity.close_values_probability.score,0.987797437461867,0.9945088468578401,0.9913361805979255,0.002359863283198752,0.9920683343502136,0.003050640634533308,5,0,0.01,maximize
sanity.distant_values_probability.score,0.0012202562538133007,0.0012202562538133007,0.0012202562538133007,0.0,0.0012202562538133007,0.0,5,0,0.01,minimize
stats.jensenshannon_dist.marginal,0.004564670156723219,0.005389090124169948,0.004994603695314132,0.00029114291651458426,0.004896232596675576,0.0003598001376677023,5,0,0.05,minimize
stats.chi_squared_test.marginal,0.23076922665805932,0.38461538319168176,0.2923076909362905,0.057563960307312936,0.30769230718830703,0.07692307729521727,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.9466503381184048,0.9596808970084442,0.9526553888151822,0.004957778381984105,0.9507882103401321,0.008201781454589607,5,0,0.01,maximize
stats.ks_test.marginal,0.8691979161777819,0.8715914957525697,0.8702773736330783,0.0008810400360638594,0.8703712394987563,0.0013610550523301956,5,0,0.02,maximize
stats.max_mean_discrepancy.joint,0.0012202099842516803,0.0012202133285661144,0.0012202113369651141,1.1370465524196634e-09,0.0012202113750988302,9.35342765913394e-10,5,0,0.18,minimize
stats.wasserstein_dist.joint,0.014941197801549268,0.01810179586237232,0.016538924975846747,0.0010346003196054642,0.01636205528946659,0.0007784532679297705,5,0,0.27,minimize
stats.prdc.precision,0.9414276998169616,0.947528981086028,0.9448444173276387,0.002203230028708659,0.9444783404514948,0.003050640634533197,5,0,0.13,maximize
stats.prdc.recall,0.9810860280658938,0.9908480780964003,0.9864551555826722,0.003481474708404433,0.9871873093349604,0.004881025015253226,5,0,0.13,maximize
stats.prdc.density,0.77705918242831,0.8054911531421599,0.7917022574740696,0.01086891499561284,0.7954850518608909,0.018303843807199516,5,0,0.13,maximize
stats.prdc.coverage,0.8230628431970713,0.8511287370347773,0.8433190970103721,0.010321088690074701,0.8468578401464307,0.004270896888346587,5,0,0.13,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.9575000175324174,0.977164376932949,0.9663004495311831,0.008096641767726379,0.9641651413463495,0.01598395433155908,5,0,0.67,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.40443359772218845,0.4182224933902786,0.41269066503965834,0.005170393408723327,0.41452104942037826,0.007890990441326129,5,0,0.67,maximize
stats.alpha_precision.authenticity_OC,0.5186089078706528,0.5613178767541184,0.5342281879194631,0.015027494161869487,0.5308114704087858,0.014643075045759568,5,0,0.67,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9725021564873451,0.9823694010224906,0.9791420336201636,0.003792506410918966,0.9814394816014812,0.004798272004937099,5,0,0.67,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.3057555419971526,0.33357738458409614,0.31813707545251163,0.01071729917919982,0.3125889770185073,0.01724628838722808,5,0,0.67,maximize
stats.alpha_precision.authenticity_naive,0.5472849298352654,0.5723001830384381,0.5627821842586943,0.008581794251381199,0.5661989017693716,0.006711409395973145,5,0,0.67,maximize
performance.linear_model.gt,0.5398655546442541,0.7050620633304808,0.6589251473046275,0.061395357799441455,0.6813408444193089,0.03912051135991601,5,0,0.02,maximize
performance.linear_model.syn_id,0.6721239204407351,0.6936364760412269,0.6834262891304406,0.007256686915769558,0.6838419185702675,0.007861865026984605,5,0,0.02,maximize
performance.linear_model.syn_ood,0.6460657940119932,0.7417576532344633,0.6850157183781895,0.0316113830090073,0.6796417546956469,0.017531142029337032,5,0,0.02,maximize
performance.mlp.gt,-37788.70447168717,-3951.7650238163783,-14752.184969954289,12471.210540574819,-8655.236248389125,12190.798970960848,5,0,11.07,maximize
performance.mlp.syn_id,-46516.259646656115,-2519.8035170802445,-16212.47365506164,15804.535600504541,-10304.878970121752,10092.146366408346,5,0,11.07,maximize
performance.mlp.syn_ood,-42925.51878425,-1924.2695697526779,-14624.210431275049,14697.525329262282,-9810.979507141621,8541.026216866132,5,0,11.07,maximize
performance.xgb.gt,0.9357733251071446,0.959399379679447,0.949786380143095,0.008648024919331053,0.9501576203209096,0.012402637443885256,5,0,1.25,maximize
performance.xgb.syn_id,0.757045368836143,0.936088014570775,0.8764903016034763,0.06397417249360618,0.8817983918130841,0.04751968490150371,5,0,1.25,maximize
performance.xgb.syn_ood,0.7952856613256541,0.9320385752694288,0.8835281876784912,0.04628979613774967,0.895482264986884,0.009488377908321799,5,0,1.25,maximize
performance.feat_rank_distance.corr,0.3636363636363636,0.4848484848484848,0.4242424242424242,0.04285495643554834,0.4242424242424242,0.06060606060606061,5,0,0.47,minimize
performance.feat_rank_distance.pvalue,0.031050242838437284,0.11595087782587783,0.06818485616749506,0.03022387998559674,0.06286914699241088,0.0415802160159799,5,0,0.47,minimize
detection.detection_xgb.mean,0.991810356567172,0.9929128561328171,0.9923265828272158,0.000417169242487164,0.9923900523072833,0.0007028559422235237,5,0,0.3,minimize
detection.detection_mlp.mean,0.5,0.5055000859388428,0.5011000171877685,0.0022000343755371075,0.5,0.0,5,0,6.21,minimize
detection.detection_gmm.mean,0.45307196061058286,0.5200427228597869,0.486565842203235,0.02370308970787522,0.4865743426712851,0.019067463046358923,4,0,0.58,minimize
detection.detection_linear.mean,0.5730551094675088,0.5872702448279522,0.5835649712410065,0.005373195885529345,0.5860971230017175,0.0030434435179599317,5,0,3.71,minimize
privacy.delta-presence.score,1.4999999981249998,5.999999940000001,4.235714249219389,2.161537594768038,5.999999940000001,4.321428512028063,5,0,0.04,maximize
privacy.k-anonymization.gt,3.0,3.0,3.0,0.0,3.0,0.0,5,0,0.05,maximize
privacy.k-anonymization.syn,7.00000001,10.00000001,8.60000001,1.2000000000000002,8.00000001,2.0,5,0,0.05,maximize
privacy.k-map.score,1.0,6.0,2.6,2.0591260281974,1.0,3.0,5,0,0.03,maximize
privacy.distinct l-diversity.gt,3.0,3.0,3.0,0.0,3.0,0.0,5,0,0.07,maximize
privacy.distinct l-diversity.syn,7.00000001,10.00000001,8.60000001,1.2000000000000002,8.00000001,2.0,5,0,0.07,maximize
privacy.identifiability_score.score,0.3447223917022575,0.35936546674801706,0.3517998779743746,0.006382768434714823,0.34960341671751066,0.01342281879194629,5,0,0.08,minimize
privacy.identifiability_score.score_OC,0.39292251372788284,0.40939597315436244,0.4029286150091519,0.006486898772423193,0.4057352043929225,0.010982306284319676,5,0,0.08,minimize
