,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.19895582922614732,0.2474981208579491,0.23015415221994714,0.017005152369259813,0.23656056642999498,0.014349172835339208,5,0,0.01,minimize
sanity.close_values_probability.score,0.4777303233679073,0.5558267236119585,0.5006711409395973,0.02833150175473552,0.4905430140329469,0.014032946918852984,5,0,0.01,maximize
sanity.distant_values_probability.score,0.0012202562538133007,0.0012202562538133007,0.0012202562538133007,0.0,0.0012202562538133007,0.0,5,0,0.01,minimize
stats.jensenshannon_dist.marginal,0.052406843856472915,0.052989944542578465,0.052608915492643925,0.00022969146132186083,0.05246848246169519,0.00033855945937141807,5,0,0.05,minimize
stats.chi_squared_test.marginal,0.0,0.07690412399759952,0.029851553704966706,0.03658884494271156,0.0,0.072353644527234,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.3449912211146938,0.38052934718083176,0.3654150549086825,0.013181672838405666,0.3684436961805175,0.020563742627872306,5,0,0.01,maximize
stats.ks_test.marginal,0.21612615572347119,0.2190829304923265,0.21799408645046228,0.0011060251238864526,0.21866053409677572,0.0014079879851691957,5,0,0.02,maximize
stats.max_mean_discrepancy.joint,0.0012202484022877918,0.001220249965371653,0.0012202492435924447,5.072534426449132e-10,0.0012202493096401617,3.2242610426176654e-10,5,0,0.17,minimize
stats.wasserstein_dist.joint,0.37271458026189896,0.411789170625366,0.3886511806106462,0.013499127586899438,0.3863866704390103,0.014455173437336377,5,0,0.28,minimize
stats.prdc.precision,0.5814521049420378,0.6101281269066504,0.5919463087248322,0.009665477168182005,0.5893837705918242,0.0036607687614399476,5,0,0.13,maximize
stats.prdc.recall,0.38560097620500305,0.7230018303843807,0.4839536302623551,0.12257314627369466,0.4246491763270287,0.05430140329469185,5,0,0.13,maximize
stats.prdc.density,0.3804758999389872,0.4069554606467358,0.3916046369737645,0.008668252438555868,0.38999389871873097,0.004514948139109243,5,0,0.13,maximize
stats.prdc.coverage,0.020744356314826115,0.028065893837705917,0.023794996949359364,0.0023787173507770496,0.023184868822452714,0.0006101281269066498,5,0,0.13,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.6468101519709943,0.6577517830468536,0.6522452013773468,0.004401197097348919,0.6512072822649078,0.008419768151311735,5,0,0.18,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.00484034980679271,0.006223306894447833,0.005336587350010214,0.0005108909812684747,0.005287777099857727,0.000650803335366934,5,0,0.18,maximize
stats.alpha_precision.authenticity_OC,0.8065893837705919,0.949359365466748,0.8977425259304456,0.059819445834578204,0.9420378279438683,0.099450884685784,5,0,0.18,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.21041285336587345,0.22155786048403514,0.21635143380109825,0.004089264639753143,0.21488712629652218,0.005775879601382816,5,0,0.18,maximize
stats.alpha_precision.delta_coverage_beta_naive,4.067520846040562e-05,4.067520846040562e-05,4.067520846040562e-05,0.0,4.067520846040562e-05,0.0,5,0,0.18,maximize
stats.alpha_precision.authenticity_naive,0.9975594874923734,1.0,0.9995118974984747,0.0009762050030506231,1.0,0.0,5,0,0.18,maximize
performance.linear_model.gt,0.5398655546442541,0.7050620633304808,0.6589251473046275,0.061395357799441455,0.6813408444193089,0.03912051135991601,5,0,0.02,maximize
performance.linear_model.syn_id,-13.229001799497562,-2.6510167184875093,-6.241116118374139,3.7915503444165246,-5.791289165838471,3.3503234735301937,5,0,0.02,maximize
performance.linear_model.syn_ood,-14.569272246923504,-2.846623633889854,-6.56598222100708,4.262947532828702,-5.643054290477949,3.5992667429639,5,0,0.02,maximize
performance.mlp.gt,-37788.70447168717,-3951.7650238163783,-14752.184969954289,12471.210540574819,-8655.236248389125,12190.798970960848,5,0,11.51,maximize
performance.mlp.syn_id,-58592.1992656382,-7036.246936690316,-28411.57254616379,21189.567939058477,-17398.446226189153,38819.78814238927,5,0,11.51,maximize
performance.mlp.syn_ood,-56794.76417441847,-7214.976890695217,-27491.821467240854,19572.762313785566,-15655.742683763992,31673.695366181964,5,0,11.51,maximize
performance.xgb.gt,0.9357733251071446,0.959399379679447,0.949786380143095,0.008648024919331053,0.9501576203209096,0.012402637443885256,5,0,1.09,maximize
performance.xgb.syn_id,-5.604254745696745,-0.4776736852943193,-2.538419883138426,1.8459272573013341,-2.2864556274841594,2.4674418841970085,5,0,1.09,maximize
performance.xgb.syn_ood,-5.686649883613474,-0.3498854499771866,-2.4268609262501757,1.9284256302659382,-2.216185747658632,2.504861437795963,5,0,1.09,maximize
performance.feat_rank_distance.corr,-0.2727272727272727,-0.0303030303030303,-0.17039360127074768,0.09304634315194991,-0.22901430620717222,0.13810521529808134,5,0,0.38,minimize
performance.feat_rank_distance.pvalue,0.24957952123750735,0.9465592891547753,0.5077023634798764,0.2814706882360516,0.3025337411745721,0.4347717834833831,5,0,0.38,minimize
detection.detection_xgb.mean,0.9999955356445301,1.0,0.9999977665957938,1.8683083062103304e-06,0.9999966517333977,3.354398958932414e-06,5,0,0.13,minimize
detection.detection_mlp.mean,0.5,0.5992152779172889,0.5203304515918775,0.039453704348976104,0.5,0.002436980042098913,5,0,6.18,minimize
detection.detection_gmm.mean,0.15561494824507863,0.9633883788362766,0.6040620757508075,0.29619805695277523,0.7024780521124215,0.4443361838243008,5,0,0.47,minimize
detection.detection_linear.mean,0.9999654012451087,1.0,0.9999930802490218,1.3839501956525169e-05,1.0,0.0,5,0,0.08,minimize
privacy.delta-presence.score,10.222222216543209,302.99999697000004,73.14187972426149,115.00370569064987,15.333333320555555,8.846153828291419,5,0,0.03,maximize
privacy.k-anonymization.gt,3.0,3.0,3.0,0.0,3.0,0.0,5,0,0.04,maximize
privacy.k-anonymization.syn,2.00000001,6.00000001,4.6000000100000005,1.4966629547095764,5.00000001,2.0,5,0,0.04,maximize
privacy.k-map.score,1.0,2.0,1.2,0.4000000000000001,1.0,0.0,5,0,0.03,maximize
privacy.distinct l-diversity.gt,3.0,3.0,3.0,0.0,3.0,0.0,5,0,0.07,maximize
privacy.distinct l-diversity.syn,2.00000001,6.00000001,4.6000000100000005,1.4966629547095764,5.00000001,2.0,5,0,0.07,maximize
privacy.identifiability_score.score,0.007321537522879805,0.009151921903599756,0.008053691275167784,0.0007115255515369495,0.007931665649786455,0.0012202562538133014,5,0,0.08,minimize
privacy.identifiability_score.score_OC,0.011592434411226357,0.01464307504575961,0.012568639414277,0.0011316190964607328,0.012202562538133009,0.0012202562538133014,5,0,0.08,minimize
