,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.0028085365745874127,0.006264278827684493,0.004173712368580538,0.0012737034155053215,0.0035692098079210957,0.0017347614084776337,5,0,0.04,minimize
sanity.close_values_probability.score,0.9970109598140153,0.9993357688475589,0.9982729990036534,0.0008309529062236152,0.9985054799070077,0.0011624045167718533,5,0,0.04,maximize
sanity.distant_values_probability.score,0.00016605778811026238,0.00033211557622052476,0.00023248090335436733,8.135136973707002e-05,0.00016605778811026238,0.00016605778811026238,5,0,0.03,minimize
stats.jensenshannon_dist.marginal,0.0045218356485096445,0.004925722340948296,0.004685982731874616,0.0001585636134910478,0.004636324114262094,0.0002774544661125738,5,0,0.05,minimize
stats.chi_squared_test.marginal,0.8644528869069251,0.9316086449233019,0.904627461289446,0.03254438341371538,0.9305015887098843,0.06639025155481038,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.9782125428221666,0.9798348089294809,0.9791334834390492,0.0005503909953182386,0.9793228070446676,0.0005260417464842959,5,0,0.01,maximize
stats.ks_test.marginal,0.8806044503487214,0.8841248754566589,0.8825661463522639,0.0013367284066523623,0.8830178235359237,0.0022141038414702496,5,0,0.04,maximize
stats.max_mean_discrepancy.joint,0.00033229777815667886,0.0003322977807063613,0.00033229778016885287,1.006244413660464e-12,0.00033229778066048673,3.511730836680549e-16,5,0,2.17,minimize
stats.prdc.precision,0.9905347060777151,0.9925273995350382,0.9912321487877781,0.0007306542676851561,0.9908668216539356,0.0008302889405513714,5,0,1.59,maximize
stats.prdc.recall,0.9915310528063767,0.994354035204251,0.9925273995350382,0.0009852140135629944,0.9920292261707074,0.0006642311524410749,5,0,1.59,maximize
stats.prdc.density,0.9899036864828962,1.0071404848887413,0.9977084025240786,0.006267998537558352,0.9975755562935902,0.009531717037529197,5,0,1.59,maximize
stats.prdc.coverage,0.9548322816340087,0.9636333444038525,0.958884091663899,0.003075612594563967,0.9596479574892063,0.0036532713384257454,5,0,1.59,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.9835305030978366,0.9923850097535092,0.9882389857877438,0.003175790951402304,0.989660516802376,0.00416633264238031,5,0,0.32,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.4856415365880661,0.4991364995018266,0.4936654489095539,0.004411283945136996,0.49426547105059226,0.0011956160743937794,5,0,0.32,maximize
stats.alpha_precision.authenticity_OC,0.5003321155762205,0.5122882763201594,0.5066090999667885,0.0039609568956162295,0.5068083693125207,0.0036532713384257454,5,0,0.32,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9828074836709841,0.9918814920005955,0.9887523524853317,0.0033123974065626944,0.9901102089274194,0.003693354252797265,5,0,0.32,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.33220414037418355,0.3506697664120447,0.3397320934351821,0.006862682629524255,0.3363555850769402,0.009775268460090913,5,0,0.32,maximize
stats.alpha_precision.authenticity_naive,0.5459980073065427,0.5672534041846563,0.5547990700763867,0.007525917763948645,0.5511457987379608,0.00863500498173364,5,0,0.32,maximize
performance.linear_model.gt,0.685664692966406,0.7439747517887852,0.7208628312621495,0.01911543960519348,0.724901952056932,0.0032366541153624473,5,0,0.42,maximize
performance.linear_model.syn_id,0.7075405704909089,0.742484017317599,0.721657420641528,0.014881101291440883,0.7115858228782046,0.02709668568548107,5,0,0.42,maximize
performance.linear_model.syn_ood,0.7111457096559809,0.7614156529790841,0.7327568568590992,0.02132781163206487,0.7189079803161661,0.03927059297923341,5,0,0.42,maximize
