,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.09699614577351531,0.136160741462451,0.12316770405543562,0.013850170279775767,0.12749794223752875,0.009743673220121235,5,0,0.01,minimize
sanity.close_values_probability.score,0.7807017543859649,0.8421052631578947,0.8087719298245613,0.0203084857943688,0.8070175438596491,0.01754385964912275,5,0,0.0,maximize
sanity.distant_values_probability.score,0.008771929824561403,0.02631578947368421,0.015789473684210527,0.006564311204866564,0.017543859649122806,0.008771929824561403,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.016940749449442873,0.018058100325084488,0.017658886948079388,0.00039234742983619813,0.017737736363107572,0.00034512194523682663,5,0,0.13,minimize
stats.chi_squared_test.marginal,0.31752660786685805,0.44639176480773396,0.362414980345504,0.043782559063925225,0.3501098974014694,0.003849066134288981,5,0,0.02,maximize
stats.inv_kl_divergence.marginal,0.651720280090142,0.6840681424204883,0.6674093825759113,0.010448154217991761,0.6688943494012475,0.00582060134889717,5,0,0.02,maximize
stats.ks_test.marginal,0.8288058856819468,0.844368986983588,0.8364459535936616,0.006013266082236351,0.8381437464629315,0.010469722693831507,5,0,0.02,maximize
stats.max_mean_discrepancy.joint,0.017543859648231165,0.01754385964887612,0.017543859648605598,2.5058602347907696e-13,0.017543859648714882,4.2101391817261913e-13,5,0,0.01,minimize
stats.wasserstein_dist.joint,0.5509737437979236,0.607453133925235,0.5696160210968036,0.020032097754592533,0.5624814583837827,0.014395556040485036,5,0,0.01,minimize
stats.prdc.precision,0.5175438596491229,0.5877192982456141,0.5543859649122806,0.025057643608922275,0.5614035087719298,0.03508771929824561,5,0,0.01,maximize
stats.prdc.recall,0.9736842105263158,1.0,0.9947368421052631,0.010526315789473672,1.0,0.0,5,0,0.01,maximize
stats.prdc.density,0.34210526315789475,0.41052631578947374,0.37192982456140355,0.024711321911100377,0.37368421052631584,0.03508771929824561,5,0,0.01,maximize
stats.prdc.coverage,0.6228070175438597,0.7807017543859649,0.7,0.058555506204486414,0.7017543859649122,0.0964912280701754,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.07426900584795315,0.18830409356725142,0.11719298245614036,0.04036460483498072,0.10409356725146213,0.043859649122807154,5,0,0.05,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.03508771929824561,0.11578947368421066,0.07216374269005847,0.03122084153145269,0.056140350877192935,0.050877192982455854,5,0,0.05,maximize
stats.alpha_precision.authenticity_OC,0.6140350877192983,0.956140350877193,0.8771929824561402,0.13210421471590664,0.9473684210526315,0.02631578947368418,5,0,0.05,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.6964912280701754,0.7549707602339182,0.7249122807017544,0.024291471318357297,0.7257309941520468,0.049707602339181256,5,0,0.05,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.033333333333333215,0.017076023391812866,0.010651625796516902,0.016959064327485396,0.004678362573099504,5,0,0.05,maximize
stats.alpha_precision.authenticity_naive,0.6052631578947368,0.8245614035087719,0.7280701754385965,0.07904477421802675,0.7456140350877193,0.11403508771929827,5,0,0.05,maximize
performance.linear_model.gt,0.9691358024691358,0.9806798140131473,0.9759660092993426,0.004612870125518181,0.978835978835979,0.007615840949174224,5,0,0.18,maximize
performance.linear_model.syn_id,0.9001924001924002,0.9795574795574796,0.9400032066698735,0.025764879053074258,0.945326278659612,0.01603334936668277,5,0,0.18,maximize
performance.linear_model.syn_ood,0.8303571428571428,0.8928571428571428,0.8678571428571427,0.020671137326411126,0.875,0.008928571428571508,5,0,0.18,maximize
performance.mlp.gt,0.5,0.6649029982363316,0.5329805996472663,0.06596119929453263,0.5,0.0,5,0,3.12,maximize
performance.mlp.syn_id,0.5,0.9747474747474748,0.594949494949495,0.1898989898989899,0.5,0.0,5,0,3.12,maximize
performance.mlp.syn_ood,0.5,0.9375,0.5875,0.17500000000000002,0.5,0.0,5,0,3.12,maximize
performance.xgb.gt,0.9779541446208113,0.9932659932659934,0.98670835337502,0.0064348285176663795,0.9911816578483245,0.011383678050344681,5,0,0.43,maximize
performance.xgb.syn_id,0.9254449254449254,0.9755491422158089,0.9563251563251564,0.01750760994930351,0.9603174603174603,0.018117684784351495,5,0,0.43,maximize
performance.xgb.syn_ood,0.9375,1.0,0.9732142857142858,0.024614372771589694,0.9732142857142859,0.044642857142857206,5,0,0.43,maximize
performance.feat_rank_distance.corr,0.004136506865393546,0.2523269187890063,0.10506727438099606,0.10779073378903704,0.03722856178854192,0.20682534326967733,5,0,0.15,minimize
performance.feat_rank_distance.pvalue,0.10283444559062539,0.9786654766025358,0.5967497197579557,0.3858116975048759,0.8098043646853212,0.7796704882747498,5,0,0.15,minimize
detection.detection_xgb.mean,0.9012003693444136,0.9319021237303785,0.9143120960295474,0.012135612916726412,0.9069713758079408,0.019852262234533624,5,0,0.16,minimize
detection.detection_mlp.mean,0.4946906740535549,0.586218836565097,0.5195752539242843,0.03373433226773726,0.5081948291782087,0.00877192982456132,5,0,1.13,minimize
detection.detection_gmm.mean,0.32871652816251157,0.5223915050784856,0.4693444136657433,0.0709363363095529,0.5,0.00438596491228066,5,0,0.05,minimize
detection.detection_linear.mean,0.605493998153278,0.7349953831948292,0.6564635272391505,0.04827098874564271,0.6491228070175439,0.0724838411819021,5,0,1.3,minimize
privacy.delta-presence.score,1.5454545440495866,3.1666666613888887,2.1824242362076953,0.5369040247160866,1.99999999,0.20000000559999975,5,0,0.02,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.04,maximize
privacy.k-anonymization.syn,1.00000001,2.00000001,1.20000001,0.4000000000000001,1.00000001,0.0,5,0,0.04,maximize
privacy.k-map.score,1.0,2.0,1.2,0.4,1.0,0.0,5,0,0.03,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.05,maximize
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.20000001,0.4000000000000001,1.00000001,0.0,5,0,0.05,maximize
privacy.identifiability_score.score,0.16666666666666666,0.2719298245614035,0.2070175438596491,0.03746343246326777,0.20175438596491227,0.043859649122807015,5,0,0.06,minimize
privacy.identifiability_score.score_OC,0.02631578947368421,0.09649122807017543,0.07017543859649122,0.02418254167033372,0.07017543859649122,0.017543859649122806,5,0,0.06,minimize
