,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.09071495368585006,0.2770971068373754,0.18281089904971298,0.0710589754483541,0.21399509104164238,0.11265839421404678,5,0,0.0,minimize
sanity.close_values_probability.score,0.5056179775280899,0.9438202247191011,0.7033707865168539,0.1599457047125775,0.6179775280898876,0.2134831460674158,5,0,0.0,maximize
sanity.distant_values_probability.score,0.011235955056179775,0.06741573033707865,0.02696629213483146,0.02201788532838812,0.011235955056179775,0.02247191011235955,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.011542070858872629,0.013420073722719549,0.012846403731296831,0.0006710532909433961,0.013157131865017858,0.00027002417007369536,5,0,0.04,minimize
stats.chi_squared_test.marginal,0.722171960315179,0.8149091443873338,0.7771433743778015,0.04351567808138007,0.8098052474519765,0.08756387366334017,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.7981432879593636,0.8768522140307251,0.8489933978306731,0.031793331153788254,0.869279459006087,0.05053808060935372,5,0,0.01,maximize
stats.ks_test.marginal,0.8559754851889683,0.8927477017364658,0.8731358529111338,0.013510975087874553,0.8733401430030644,0.021450459652706866,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.022661781303608824,0.02720643954004239,0.024506435745420708,0.0017446988934651558,0.02429213574888978,0.0029242790621002504,5,0,0.0,minimize
stats.wasserstein_dist.joint,0.19852402593207577,0.22136824594498913,0.2084135052790069,0.009576539878578984,0.2050404871744943,0.01905249928492156,5,0,0.01,minimize
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.01,maximize
stats.prdc.recall,0.9887640449438202,1.0,0.997752808988764,0.004494382022471921,1.0,0.0,5,0,0.01,maximize
stats.prdc.density,1.0292134831460673,1.1056179775280899,1.070561797752809,0.02455923791876722,1.0719101123595507,0.01123595505617958,5,0,0.01,maximize
stats.prdc.coverage,0.9438202247191011,1.0,0.9842696629213483,0.020839592124709455,0.9887640449438202,0.011235955056179803,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.5970037453183521,0.7049722329846313,0.6491592406044169,0.038355774863832626,0.651685393258427,0.05468164794007502,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.4030995738086013,0.518455379052047,0.47901330233759526,0.0415536504335405,0.48389513108614235,0.03980369365878855,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.47191011235955055,0.6179775280898876,0.548314606741573,0.06411389940533531,0.5730337078651685,0.13483146067415736,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.7880408110551466,0.9507684360067158,0.8835645098798915,0.05607806921310749,0.8808213870592794,0.056438073098282304,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.21048689138576793,0.29662921348314597,0.2518352059925094,0.032864693702087375,0.2666666666666667,0.05093632958801497,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.5617977528089888,0.7191011235955056,0.6292134831460674,0.054584080006701646,0.6404494382022472,0.0561797752808989,5,0,0.1,maximize
performance.linear_model.gt,0.06787701679282039,0.34451923986777094,0.2108106291722755,0.12166184016682662,0.2412482396263184,0.2628633528142106,5,0,0.02,maximize
performance.linear_model.syn_id,-0.15056508801253524,0.3763399995180634,0.14801955377099313,0.1744521443809725,0.1566722407204714,0.1335056637227528,5,0,0.02,maximize
performance.linear_model.syn_ood,-0.004190579007046891,0.38792274906769936,0.20788315194616197,0.16194032923781326,0.25417430876861313,0.32090286606360086,5,0,0.02,maximize
performance.mlp.gt,-0.3053280800201245,-0.06342913766512892,-0.16844653295355866,0.09076309520418949,-0.12121330624885063,0.13472493516594028,5,0,22.75,maximize
performance.mlp.syn_id,-0.5277249002466832,-0.03967483228036325,-0.21170464976010023,0.19135188491248767,-0.11175857543164296,0.29208044076497347,5,0,22.75,maximize
performance.mlp.syn_ood,-0.3217541084472757,-0.029969372664467198,-0.16007577220286778,0.12722788595405488,-0.08805871050812497,0.25243911728281176,5,0,22.75,maximize
performance.xgb.gt,-0.056057180530751594,0.10169530915784504,0.027492201075111668,0.06247203958764412,0.03594004083373592,0.11794412784991803,5,0,0.44,maximize
performance.xgb.syn_id,-0.7434837605858501,0.06847842243936868,-0.26970218012980063,0.2733940338469351,-0.2660071408164653,0.22879309933215208,5,0,0.44,maximize
performance.xgb.syn_ood,-0.4995218432778319,0.4965786403133848,0.01757934897233806,0.4010093999982128,0.12120641616047112,0.7672331947210067,5,0,0.44,maximize
performance.feat_rank_distance.corr,-0.3333333333333333,0.28888888888888886,0.01333333333333333,0.2166410241236256,0.06666666666666667,0.2666666666666666,5,0,0.1,minimize
performance.feat_rank_distance.pvalue,0.21637345679012346,0.8618005952380953,0.5395131172839507,0.24859491225541183,0.6006536596119929,0.43624118165784825,5,0,0.1,minimize
detection.detection_xgb.mean,0.67941251596424,0.864316730523627,0.7758952745849297,0.05895491362597609,0.7815325670498084,0.020804597701149286,5,0,0.13,minimize
detection.detection_mlp.mean,0.49333333333333335,0.5296934865900383,0.5110574712643678,0.012160091423662667,0.5109961685823755,0.01245210727969337,5,0,1.14,minimize
detection.detection_gmm.mean,0.4601596424010217,0.5364495530012772,0.5012413793103448,0.025592464011584305,0.4994444444444444,0.025095785440612972,5,0,0.04,minimize
detection.detection_linear.mean,0.44231162196679435,0.5465644955300127,0.5009961685823755,0.03884869464434781,0.5156704980842912,0.060153256704980784,5,0,0.04,minimize
privacy.delta-presence.score,1.2999999987,3.249999991875,1.9160150345092561,0.7108013762902728,1.8571428544897959,0.5413533814981062,5,0,0.01,maximize
privacy.k-anonymization.gt,13.0,13.0,13.0,0.0,13.0,0.0,5,0,0.02,maximize
privacy.k-anonymization.syn,7.00000001,13.00000001,10.60000001,2.3323807579381204,11.00000001,4.0,5,0,0.02,maximize
privacy.k-map.score,4.0,10.0,7.6,2.244994432064365,7.0,3.0,5,0,0.01,maximize
privacy.distinct l-diversity.gt,13.0,13.0,13.0,0.0,13.0,0.0,5,0,0.03,maximize
privacy.distinct l-diversity.syn,7.00000001,13.00000001,10.60000001,2.3323807579381204,11.00000001,4.0,5,0,0.03,maximize
privacy.identifiability_score.score,0.3707865168539326,0.449438202247191,0.4314606741573034,0.030647599319069335,0.449438202247191,0.011235955056179747,5,0,0.02,minimize
privacy.identifiability_score.score_OC,0.47191011235955055,0.5168539325842697,0.49213483146067416,0.016513413996291103,0.48314606741573035,0.02247191011235955,5,0,0.02,minimize
