,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.07074961579481703,0.17360571752198772,0.11405277155708549,0.03377243623572318,0.10545331727235423,0.01886563757663834,5,0,0.0,minimize
sanity.close_values_probability.score,0.7415730337078652,0.9438202247191011,0.8516853932584271,0.07330115249573073,0.8314606741573034,0.101123595505618,5,0,0.0,maximize
sanity.distant_values_probability.score,0.011235955056179775,0.033707865168539325,0.015730337078651686,0.008988764044943821,0.011235955056179775,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.012445371538562698,0.015421847988944117,0.01398671373247208,0.0010252386235734515,0.013985677549222279,0.0012763019698506205,5,0,0.04,minimize
stats.chi_squared_test.marginal,0.2643583714960332,0.45123290597751087,0.3596664314091864,0.08104234797938022,0.36198834392178214,0.17529898041678688,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.5725572853456514,0.6923692994251236,0.6288904809285673,0.044642478949582426,0.6104955555276714,0.06870398282178913,5,0,0.01,maximize
stats.ks_test.marginal,0.8335035750766089,0.8508682328907049,0.8390194075587335,0.006250074991125,0.8355464759959141,0.0040858018386108474,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.022686100741005216,0.0254139289316007,0.02384401996453653,0.0008997378043282471,0.023776558961556872,0.0005972411173698795,5,0,0.0,minimize
stats.wasserstein_dist.joint,0.16655149992770507,0.18823284358705983,0.17727598301446784,0.006958187855685542,0.17802919556928398,0.003452980472787248,5,0,0.01,minimize
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.01,maximize
stats.prdc.recall,0.9887640449438202,1.0,0.995505617977528,0.005504471332097043,1.0,0.011235955056179803,5,0,0.01,maximize
stats.prdc.density,1.0292134831460673,1.09438202247191,1.068314606741573,0.021953572569563727,1.0764044943820223,0.01573033707865168,5,0,0.01,maximize
stats.prdc.coverage,0.9213483146067416,1.0,0.9752808988764045,0.029642485299489686,0.9887640449438202,0.0337078651685393,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.6352059925093634,0.7513108614232209,0.6826966292134831,0.046547180522438766,0.6561797752808989,0.07940074906367045,5,0,0.62,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.3820224719101124,0.5087175513366913,0.44106935296396754,0.048701465427300965,0.4269662921348316,0.08464419475655449,5,0,0.62,maximize
stats.alpha_precision.authenticity_OC,0.449438202247191,0.6067415730337079,0.5168539325842696,0.051734222171781315,0.5056179775280899,0.0337078651685393,5,0,0.62,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8366266305049722,0.8812088337853545,0.8604933488312024,0.015234816052738112,0.8663825390675448,0.015704507296913306,5,0,0.62,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.25917602996254674,0.3932584269662922,0.3240449438202247,0.05140476385321949,0.34756554307116094,0.08089887640449445,5,0,0.62,maximize
stats.alpha_precision.authenticity_naive,0.4943820224719101,0.5955056179775281,0.5550561797752809,0.035955056179775284,0.5617977528089888,0.0449438202247191,5,0,0.62,maximize
performance.linear_model.gt,0.06787701679282039,0.34451923986777094,0.2108106291722755,0.12166184016682662,0.2412482396263184,0.2628633528142106,5,0,0.02,maximize
performance.linear_model.syn_id,-0.0030771232486298907,0.3164519046903491,0.13469147894615388,0.11784283715550323,0.07970659514696339,0.1693155048637806,5,0,0.02,maximize
performance.linear_model.syn_ood,-0.05476259710722764,0.363919043368901,0.13709549725352227,0.14349880151601704,0.09210030679772907,0.15891013652509767,5,0,0.02,maximize
performance.mlp.gt,-0.3053280800201245,-0.06342913766512892,-0.16844653295355866,0.09076309520418949,-0.12121330624885063,0.13472493516594028,5,0,22.67,maximize
performance.mlp.syn_id,-0.45295669872462585,-0.15463202403390117,-0.34652776595361123,0.11867511217729143,-0.4138779604050824,0.18744419541333146,5,0,22.67,maximize
performance.mlp.syn_ood,-0.4285143369170574,-0.08896239665132999,-0.2785638374542676,0.12292266561500151,-0.2696163779426317,0.17807352779910723,5,0,22.67,maximize
performance.xgb.gt,-0.056057180530751594,0.10169530915784504,0.027492201075111668,0.06247203958764412,0.03594004083373592,0.11794412784991803,5,0,0.44,maximize
performance.xgb.syn_id,-0.21593550144521934,0.1629831445689789,-0.048423990793685846,0.13606981566169438,-0.051879528740987634,0.19489612380338558,5,0,0.44,maximize
performance.xgb.syn_ood,-0.27679085587902397,0.27232112282840304,0.060776233529187464,0.2077542413528061,0.1240464042536833,0.3197946868251812,5,0,0.44,maximize
performance.feat_rank_distance.corr,-0.5111111111111111,0.15555555555555553,-0.1288888888888889,0.22416924822966205,-0.15555555555555553,0.17777777777777776,5,0,0.1,minimize
performance.feat_rank_distance.pvalue,0.04662257495590829,1.0,0.5697167107583774,0.30385604102095304,0.6006536596119929,0.0,5,0,0.1,minimize
detection.detection_xgb.mean,0.8225159642401021,0.8945977011494254,0.8611315453384419,0.023790760334305792,0.8624904214559388,0.020485312899106156,5,0,0.13,minimize
detection.detection_mlp.mean,0.4671008939974457,0.5190485312899106,0.4969067688378034,0.021003388382477603,0.5026372924648786,0.03980842911877397,5,0,1.12,minimize
detection.detection_gmm.mean,0.48114303959131544,0.5656960408684547,0.5015274584929758,0.032265126239706635,0.48666666666666664,0.008116219667943791,5,0,0.04,minimize
detection.detection_linear.mean,0.44863346104725416,0.5604725415070243,0.5222196679438058,0.039006566590920166,0.5319540229885058,0.02477650063856951,5,0,0.04,minimize
privacy.delta-presence.score,1.444444442839506,3.249999991875,2.7588888826529017,0.7037869320815162,3.249999991875,0.6499999970750001,5,0,0.01,maximize
privacy.k-anonymization.gt,13.0,13.0,13.0,0.0,13.0,0.0,5,0,0.02,maximize
privacy.k-anonymization.syn,4.00000001,9.00000001,7.400000010000001,2.0591260281974004,9.00000001,3.000000000000001,5,0,0.02,maximize
privacy.k-map.score,4.0,9.0,5.2,1.9390719429665317,4.0,1.0,5,0,0.01,maximize
privacy.distinct l-diversity.gt,13.0,13.0,13.0,0.0,13.0,0.0,5,0,0.03,maximize
privacy.distinct l-diversity.syn,4.00000001,9.00000001,7.400000010000001,2.0591260281974004,9.00000001,3.000000000000001,5,0,0.03,maximize
privacy.identifiability_score.score,0.4044943820224719,0.47191011235955055,0.43595505617977526,0.02399343427422766,0.43820224719101125,0.0337078651685393,5,0,0.02,minimize
privacy.identifiability_score.score_OC,0.42696629213483145,0.5280898876404494,0.48539325842696635,0.04345860585576116,0.5168539325842697,0.07865168539325845,5,0,0.02,minimize
