,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.10027241255000346,0.20641522225744188,0.12744696026251784,0.04009767435971922,0.10835781391923954,0.018192586910827757,5,0,0.04,minimize
sanity.close_values_probability.score,0.5224665391969407,0.9631931166347992,0.8659655831739961,0.17214562317479493,0.9555449330783938,0.029158699808795485,5,0,0.03,maximize
sanity.distant_values_probability.score,0.0004780114722753346,0.0038240917782026767,0.001147227533460803,0.001338432122370937,0.0004780114722753346,0.0,5,0,0.04,minimize
stats.jensenshannon_dist.marginal,0.006525505892526286,0.007338837103461307,0.0070287219256206,0.0003003957144695771,0.007202429716765703,0.0003779621269276029,5,0,0.09,minimize
stats.chi_squared_test.marginal,0.20795141327463482,0.29014115547796976,0.24867684013679997,0.02599254983876269,0.24841119441930704,0.0002483899450289595,5,0,0.02,maximize
stats.inv_kl_divergence.marginal,0.903355596732824,0.9269531468312137,0.916699933373663,0.009786654552520431,0.9228871475111874,0.017471051581383068,5,0,0.01,maximize
stats.ks_test.marginal,0.9054533142128744,0.9114882090503506,0.90789913957935,0.002090271834327582,0.9069271829190567,0.0020116316124918487,5,0,0.03,maximize
stats.max_mean_discrepancy.joint,0.003189083951336637,0.0031894317370026724,0.0031893214418591657,1.259808458905988e-07,0.003189376429848763,1.0157232045119452e-07,5,0,0.28,minimize
stats.wasserstein_dist.joint,0.11023050620857315,0.11522181105566848,0.11309238758172475,0.0016442588270746167,0.11306683615832938,0.0010051708162049644,5,0,0.55,minimize
stats.prdc.precision,0.8365200764818356,0.8546845124282982,0.845602294455067,0.007436113377678784,0.8494263862332696,0.013384321223709361,5,0,0.21,maximize
stats.prdc.recall,0.869980879541109,0.8962715105162524,0.884225621414914,0.008836879547450346,0.8833652007648184,0.008604206500955947,5,0,0.21,maximize
stats.prdc.density,0.7581261950286807,0.7752390057361378,0.7655449330783939,0.005872066943309506,0.7658699808795412,0.00630975143403445,5,0,0.21,maximize
stats.prdc.coverage,0.7791586998087954,0.7920650095602294,0.7877629063097514,0.004912134829317444,0.7911089866156787,0.005736137667303964,5,0,0.21,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.7334926704907584,0.7478648820905035,0.741357552581262,0.005695536502328527,0.7420012746972595,0.010707456978967467,5,0,0.56,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.3543977055449331,0.41220522625876344,0.37094964945825365,0.020998404091818045,0.3627469725940089,0.00710643722116,5,0,0.56,maximize
stats.alpha_precision.authenticity_OC,0.5258126195028681,0.5841300191204589,0.5503824091778202,0.02105552364554934,0.5549713193116634,0.026768642447418833,5,0,0.56,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9200248346190194,0.9315927122480825,0.9256029537812356,0.004353750877506748,0.9274213753543878,0.006631722379727867,5,0,0.56,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.2933397068196302,0.3108986615678776,0.2994964945825366,0.006151368574357239,0.2988209050350542,0.004557042702358016,5,0,0.56,maximize
stats.alpha_precision.authenticity_naive,0.5731357552581262,0.6324091778202677,0.5900573613766731,0.02144050642289888,0.5817399617590823,0.002390057361376763,5,0,0.56,maximize
performance.linear_model.gt,0.7594235245171085,0.7671414147923783,0.7639262314450818,0.002595310900053127,0.7644929699662298,0.002229556727848969,5,0,0.34,maximize
performance.linear_model.syn_id,0.728559664720005,0.7508752963065745,0.7394725045181227,0.007364437140784083,0.7401418778935603,0.006471608857931743,5,0,0.34,maximize
