,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.14240973940649598,0.195567574300051,0.17199778410547423,0.01888763097891819,0.1767649806765031,0.02565996433866155,5,0,0.04,minimize
sanity.close_values_probability.score,0.7141491395793499,0.8522944550669216,0.7692160611854685,0.04927869394724002,0.7495219885277247,0.05975143403441685,5,0,0.03,maximize
sanity.distant_values_probability.score,0.0004780114722753346,0.0014340344168260039,0.0010516252390057363,0.00035771103124033864,0.0009560229445506692,0.0004780114722753347,5,0,0.04,minimize
stats.jensenshannon_dist.marginal,0.024751093042697583,0.02540761572877844,0.025070629323680378,0.00022409358947042792,0.025034027308560622,0.0002603970320419306,5,0,0.08,minimize
stats.chi_squared_test.marginal,0.15690315374856142,0.2699763996036286,0.21640058180514324,0.038870591948877764,0.23147107727998364,0.04184092517964702,5,0,0.02,maximize
stats.inv_kl_divergence.marginal,0.6014199500529396,0.6084533655746518,0.6046604688531647,0.002364615289863361,0.6046607042142397,0.0024154953676194246,5,0,0.01,maximize
stats.ks_test.marginal,0.7560946462715105,0.7601179094964946,0.7582456978967496,0.0015298130508352172,0.7581859464627151,0.0026489802421925113,5,0,0.03,maximize
stats.max_mean_discrepancy.joint,0.0031893886609532353,0.0031893886609532353,0.0031893886609532353,0.0,0.0031893886609532353,0.0,5,0,0.28,minimize
stats.wasserstein_dist.joint,0.36652594726541954,0.37691099861909083,0.37200106555591955,0.0037770768526529034,0.3723679490447248,0.005846865739921325,5,0,0.54,minimize
stats.prdc.precision,0.760038240917782,0.7911089866156787,0.7773422562141492,0.010643245047948413,0.7762906309751434,0.01147227533460804,5,0,0.2,maximize
stats.prdc.recall,0.6472275334608031,0.7174952198852772,0.6797323135755258,0.02367773748839184,0.6792543021032504,0.0248565965583174,5,0,0.2,maximize
stats.prdc.density,0.5172084130019121,0.5460803059273424,0.5288527724665393,0.010067679677441776,0.5264818355640536,0.011281070745697841,5,0,0.2,maximize
stats.prdc.coverage,0.44980879541108987,0.48518164435946465,0.4701720841300192,0.011846972141231107,0.47466539196940727,0.009082217973231332,5,0,0.2,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.37119184193753996,0.47045889101338423,0.4377119184193754,0.03892759620036636,0.46246016571064374,0.05340981516889742,5,0,1.12,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.1356277884002548,0.1653282345442958,0.14924792861695352,0.01045227657543796,0.15108349267049093,0.013384321223709361,5,0,1.12,maximize
stats.alpha_precision.authenticity_OC,0.6821223709369025,0.762906309751434,0.7146271510516253,0.03158205554875506,0.7031548757170172,0.054015296367112775,5,0,1.12,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.7702786751939518,0.7864354629568581,0.7799854948242897,0.0053243068461181755,0.7809223973099493,0.0021669853409814754,5,0,1.12,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.10449330783938815,0.11414913957935002,0.10867431485022308,0.0038699922157649563,0.10815806246016568,0.0073295092415549545,5,0,1.12,maximize
stats.alpha_precision.authenticity_naive,0.8781070745697896,0.9134799235181644,0.8974187380497132,0.011973591043950849,0.8957934990439771,0.011950286806883259,5,0,1.12,maximize
performance.linear_model.gt,0.759592894750648,0.7651543030049552,0.7629519083524368,0.00204673286144212,0.7632684334071754,0.0029526244129582935,5,0,0.34,maximize
performance.linear_model.syn_id,0.5035207088356168,0.6728548909198704,0.577621267406664,0.06022025155055487,0.5475852904801799,0.0725295364004982,5,0,0.34,maximize
