,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.07813702695976117,0.07960173428266526,0.07891311394548711,0.00048407510313455584,0.07898130952769628,0.0004249664098569944,5,0,0.04,minimize
sanity.close_values_probability.score,0.9703632887189293,0.9751434034416826,0.972944550669216,0.0015592262361663427,0.972753346080306,0.0009560229445506607,5,0,0.04,maximize
sanity.distant_values_probability.score,0.0004780114722753346,0.0004780114722753346,0.0004780114722753346,0.0,0.0004780114722753346,0.0,5,0,0.03,minimize
stats.jensenshannon_dist.marginal,0.014958245174707866,0.015526090299114404,0.015234737614175898,0.00018931754428292563,0.015262954718279362,0.0001797062757701237,5,0,0.09,minimize
stats.chi_squared_test.marginal,0.08156729930327485,0.1244490313378231,0.11526818201110278,0.01685500951729615,0.12346365861703888,0.00012510589639737335,5,0,0.02,maximize
stats.inv_kl_divergence.marginal,0.6448424551492472,0.6684132600989785,0.6539540545886653,0.007939320733151577,0.6516602855814265,0.005128325949298906,5,0,0.01,maximize
stats.ks_test.marginal,0.849625557680051,0.8527326322498406,0.8514340344168261,0.001066889885749929,0.8515575207138304,0.0011352772466539651,5,0,0.03,maximize
stats.max_mean_discrepancy.joint,0.003190088945390047,0.0031920509752456226,0.0031908724711748626,6.964790331217941e-07,0.00319094332206323,7.862728017941911e-07,5,0,0.27,minimize
stats.wasserstein_dist.joint,0.10537421157568871,0.11130039653158051,0.10844975777409023,0.0019293637866573691,0.10850441507620683,0.0014209978089793768,5,0,0.55,minimize
stats.prdc.precision,0.9670172084130019,0.97131931166348,0.9691204588910134,0.0016167815033736278,0.969885277246654,0.002390057361376763,5,0,0.21,maximize
stats.prdc.recall,0.5717017208413002,0.5874760994263862,0.5793499043977055,0.006061517202350798,0.5807839388145315,0.010516252390057379,5,0,0.21,maximize
stats.prdc.density,1.201338432122371,1.2207456978967497,1.2080497131931167,0.006629148855002887,1.2055449330783938,0.001529636711281146,5,0,0.21,maximize
stats.prdc.coverage,0.7509560229445507,0.7719885277246654,0.7653919694072657,0.007481452216640106,0.7676864244741873,0.003824091778202754,5,0,0.21,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.7367112810707457,0.7732632249840663,0.7542702358189929,0.015084387345054632,0.7537922243467177,0.030592734225621365,5,0,0.06,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.42619502868068837,0.4623964308476737,0.43840662842574896,0.013271634033921611,0.43457616316124925,0.014818355640535352,5,0,0.06,maximize
stats.alpha_precision.authenticity_OC,0.48804971319311663,0.5740917782026769,0.535564053537285,0.03432188945705176,0.5573613766730402,0.05640535372848954,5,0,0.06,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.707010834926705,0.7216379859783302,0.715748884639898,0.00482020157463958,0.7170809432759719,0.002103250478011409,5,0,0.06,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.40723390694710004,0.42600382409177817,0.4169789674952199,0.006048683624978317,0.4174633524537923,0.0035372848948374003,5,0,0.06,maximize
stats.alpha_precision.authenticity_naive,0.512906309751434,0.5358508604206501,0.5287762906309751,0.008187263505165075,0.5320267686424475,0.003824091778202754,5,0,0.06,maximize
performance.linear_model.gt,0.7597629225907888,0.7669646062975038,0.7638339370892607,0.002357228466310925,0.7640952641072326,0.0014896689272259067,5,0,0.34,maximize
performance.linear_model.syn_id,0.7327999559257442,0.7489280793196315,0.7416758461241472,0.006895296391906295,0.7459821478805266,0.012977420565871811,5,0,0.34,maximize
