Unnamed: 0,min,max,mean,stddev,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0666666666622222,0.0306666666646222,0.0331997322590899,minimize
sanity.nearest_syn_neighbor_distance.mean,0.2532153743933663,0.3519855493456615,0.2991575591105989,0.0417545989871437,minimize
sanity.close_values_probability.score,0.2533333333333333,0.52,0.356,0.12450792031924,maximize
sanity.distant_values_probability.score,0.0133333333333333,0.0466666666666666,0.0253333333333333,0.0128235893744475,minimize
stats.jensenshannon_dist.marginal,0.0223152273970279,0.0262861479337985,0.0237587778654423,0.001493853074233,minimize
stats.chi_squared_test.marginal,0.1875314177476254,0.3902679460957455,0.3010852948413401,0.1009331361743345,maximize
stats.inv_kl_divergence.marginal,0.3426586905306547,0.5773113546388012,0.4799242486789367,0.1207470792539351,maximize
stats.ks_test.marginal,0.7786666666666666,0.8106666666666668,0.796,0.0126491106406735,maximize
stats.max_mean_discrepancy.joint,0.0871705215128055,0.1251992033147331,0.1103262199274434,0.0177316762988692,minimize
stats.wasserstein_dist.joint,0.0401223454172523,0.0554538784359413,0.0475430500894987,0.0056577281721999,minimize
stats.alpha_precision.delta_precision_alpha_OC,0.6368888888888888,0.7435249042145593,0.6884076628352489,0.0403949128954436,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.4142222222222221,0.5173333333333334,0.4818666666666667,0.0434606676160138,maximize
stats.alpha_precision.authenticity_OC,0.4933333333333333,0.58,0.5453333333333333,0.0357149206292769,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.4844444444444444,0.6177777777777778,0.5424888888888889,0.0511010618140026,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.2337777777777777,0.4039999999999999,0.3104,0.0624366147720832,maximize
stats.alpha_precision.authenticity_naive,0.6533333333333333,0.8,0.7226666666666667,0.0701743859570174,maximize
stats.prdc.precision,0.72,0.7666666666666667,0.7466666666666667,0.0182574185835055,maximize
stats.prdc.recall,0.6066666666666667,0.8933333333333333,0.748,0.1250244420547882,maximize
stats.prdc.density,0.5946666666666667,0.6906666666666667,0.6432,0.0347895258822409,maximize
stats.prdc.coverage,0.5133333333333333,0.7066666666666667,0.6173333333333333,0.0806363579424456,maximize
performance.linear_model.gt,0.9978888888888888,0.9978888888888888,0.9978888888888888,0.0,maximize
performance.linear_model.syn_id,0.9799444444444444,0.9972083333333334,0.9903819444444444,0.0067327919944197,maximize
performance.linear_model.syn_ood,0.9791111111111112,0.9963333333333332,0.9893111111111113,0.0067226354326627,maximize
performance.mlp.gt,0.8325520833333334,0.8325520833333334,0.8325520833333334,0.0,maximize
performance.mlp.syn_id,0.6293402777777779,0.8346354166666666,0.7713020833333334,0.0836484160199843,maximize
performance.mlp.syn_ood,0.5525,0.9477777777777778,0.7893888888888888,0.1448772096093707,maximize
performance.xgb.gt,0.978111111111111,0.978111111111111,0.978111111111111,0.0,maximize
performance.xgb.syn_id,0.9765277777777778,0.9919930555555556,0.9857,0.0069232391519387,maximize
performance.xgb.syn_ood,0.9757777777777776,0.9912222222222222,0.9851333333333332,0.0070769143028146,maximize
performance.feat_rank_distance.corr,-0.2047357825326744,0.1044452215520199,-0.0052337442463776,0.1194576813067852,minimize
performance.feat_rank_distance.pvalue,0.0060056798529001,0.9438752893780068,0.4680201260899698,0.4123285667503386,minimize
detection.detection_xgb.mean,0.8365555555555556,0.929111111111111,0.8714888888888888,0.0369373510316395,minimize
detection.detection_mlp.mean,0.2941111111111111,0.4479999999999999,0.3794444444444444,0.0562870728311682,minimize
detection.detection_gmm.mean,0.5544444444444445,0.7,0.6072888888888889,0.0596999493351316,minimize
detection.detection_linear.mean,0.5326666666666666,0.6676666666666667,0.5865111111111111,0.0545113307963141,minimize
privacy.delta-presence.score,2.99999999,17.999999820000003,9.999999904000004,5.87366999753987,maximize
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0,maximize
privacy.k-anonymization.syn,1.00000001,5.00000001,2.4000000100000003,1.6733200530681511,maximize
privacy.k-map.score,1.0,3.0,1.4,0.8944271909999161,maximize
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0,maximize
privacy.distinct l-diversity.syn,1.00000001,5.00000001,2.4000000100000003,1.6733200530681511,maximize
privacy.identifiability_score.score,0.18,0.2866666666666667,0.2386666666666666,0.0435634913405454,minimize
privacy.identifiability_score.score_OC,0.36,0.4533333333333333,0.4,0.0385861230093007,minimize
