,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.3951376492703957,0.5434428534615839,0.4893885328914089,0.0509590397259326,0.5051560147867875,0.03555324246618752,5,0,0.0,minimize
sanity.close_values_probability.score,0.06666666666666667,0.16666666666666666,0.12666666666666665,0.048989794855663564,0.16666666666666666,0.09999999999999999,5,0,0.0,maximize
sanity.distant_values_probability.score,0.03333333333333333,0.26666666666666666,0.13333333333333333,0.0760116950066092,0.13333333333333333,0.033333333333333326,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.022747997383181884,0.028982434498419824,0.025593855017767113,0.0021645378263623746,0.0253162634648748,0.0027322296130901577,5,0,0.0,minimize
stats.chi_squared_test.marginal,0.19789332857697556,0.799037174797328,0.5572338686943625,0.19606534721149707,0.5953842252016617,0.0037553721107921323,5,0,0.0,maximize
stats.inv_kl_divergence.marginal,0.48302012195016586,0.6581094499865612,0.6073269539832891,0.06325178380345135,0.6335326261446154,0.018255144621786457,5,0,0.0,maximize
stats.ks_test.marginal,0.7933333333333333,0.82,0.8093333333333333,0.009043106644167017,0.8133333333333332,0.006666666666666821,5,0,0.0,maximize
stats.max_mean_discrepancy.joint,0.166925506992806,0.19163912780160725,0.18249178496844518,0.008984442996168726,0.18269525353994795,0.010794514998620053,5,0,0.0,minimize
stats.wasserstein_dist.joint,0.1918095611827227,0.21250502624072795,0.2026158659420883,0.008090880161806797,0.19918097652301334,0.013525637155592685,5,0,0.0,minimize
stats.prdc.precision,0.16666666666666666,0.3333333333333333,0.26666666666666666,0.0557773351022717,0.26666666666666666,0.033333333333333326,5,0,0.0,maximize
stats.prdc.recall,0.9333333333333333,1.0,0.9866666666666667,0.02666666666666666,1.0,0.0,5,0,0.0,maximize
stats.prdc.density,0.09333333333333334,0.21333333333333335,0.16,0.044820630170590965,0.16666666666666669,0.07333333333333333,5,0,0.0,maximize
stats.prdc.coverage,0.3333333333333333,0.7666666666666667,0.4800000000000001,0.15434449203720305,0.43333333333333335,0.13333333333333336,5,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.5203065134099617,0.6977011494252874,0.6137624521072798,0.07164996983912876,0.6119540229885059,0.1401532567049808,5,0,0.0,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.22888888888888892,0.4288888888888889,0.3298390804597702,0.07645838007105815,0.3355555555555557,0.13555555555555554,5,0,0.0,maximize
stats.alpha_precision.authenticity_OC,0.6,0.8333333333333334,0.7466666666666667,0.07774602526460403,0.7666666666666667,0.0,5,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8177011494252874,0.9035249042145594,0.8604904214559387,0.028265148683222996,0.8649808429118773,0.023678160919540225,5,0,0.0,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.039999999999999925,0.09555555555555562,0.0622222222222222,0.021636731457134406,0.04888888888888887,0.033333333333333326,5,0,0.0,maximize
stats.alpha_precision.authenticity_naive,0.6333333333333333,0.9333333333333333,0.8333333333333333,0.10954451150103324,0.9,0.09999999999999998,5,0,0.0,maximize
performance.linear_model.gt,0.9583333333333334,0.9817708333333334,0.9770833333333334,0.009375,0.9817708333333334,0.0,5,0,0.0,maximize
performance.linear_model.syn_id,0.2760416666666667,0.7057291666666666,0.48125,0.14408739089621192,0.4557291666666667,0.14583333333333331,5,0,0.0,maximize
performance.linear_model.syn_ood,0.4305555555555555,0.8333333333333334,0.5972222222222222,0.1399955907594906,0.5277777777777778,0.13888888888888884,5,0,0.0,maximize
performance.mlp.gt,0.765625,0.8098958333333334,0.7822916666666667,0.015393246568887155,0.77734375,0.01432291666666674,5,0,0.0,maximize
performance.mlp.syn_id,0.4140625,0.7096354166666666,0.5299479166666666,0.11121956512532613,0.484375,0.16666666666666663,5,0,0.0,maximize
performance.mlp.syn_ood,0.4583333333333333,0.625,0.5597222222222222,0.06538112386633234,0.5972222222222222,0.10416666666666674,5,0,0.0,maximize
performance.xgb.gt,0.921875,0.953125,0.9364583333333334,0.012391017972260748,0.9348958333333334,0.0234375,5,0,0.0,maximize
performance.xgb.syn_id,0.5078125,0.7421875,0.590625,0.07988299820849101,0.5755208333333334,0.02864583333333337,5,0,0.0,maximize
performance.xgb.syn_ood,0.4305555555555556,0.7777777777777778,0.5972222222222223,0.1281997862134925,0.6527777777777779,0.18055555555555564,5,0,0.0,maximize
performance.feat_rank_distance.corr,-0.24775204170460025,0.34410005792305587,0.03303360556061336,0.1924205554805677,0.055056009267688936,0.12387602085230012,5,0,0.01,minimize
performance.feat_rank_distance.pvalue,0.05458948242922227,0.7584318505895995,0.4876989879032113,0.3107335152421307,0.7006628277385935,0.5920529224205578,5,0,0.01,minimize
detection.detection_xgb.mean,0.6916666666666668,0.7833333333333333,0.7346666666666667,0.03592275663760287,0.7316666666666666,0.06666666666666654,5,0,0.0,minimize
detection.detection_mlp.mean,0.44,0.59,0.5086666666666667,0.05855102238409012,0.49166666666666664,0.10500000000000004,5,0,0.0,minimize
detection.detection_gmm.mean,0.44166666666666665,0.5366666666666666,0.47133333333333327,0.035267233769857506,0.45166666666666666,0.03333333333333338,5,0,0.0,minimize
detection.detection_linear.mean,0.41,0.54,0.4886666666666667,0.05905176636740948,0.53,0.1166666666666667,5,0,0.0,minimize
privacy.delta-presence.score,1.0555555549691358,1.11764705816609,1.0946405219670452,0.020703175273808855,1.0999999989,0.0,5,0,0.0,maximize
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0,11.0,0.0,5,0,0.0,maximize
privacy.k-anonymization.syn,9.00000001,15.00000001,12.800000010000002,2.039607805437114,13.00000001,1.0,5,0,0.0,maximize
privacy.k-map.score,10.0,13.0,11.0,1.2649110640673518,10.0,2.0,5,0,0.0,maximize
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0,11.0,0.0,5,0,0.0,maximize
privacy.distinct l-diversity.syn,9.00000001,15.00000001,12.800000010000002,2.039607805437114,13.00000001,1.0,5,0,0.0,maximize
privacy.identifiability_score.score,0.03333333333333333,0.06666666666666667,0.04,0.013333333333333334,0.03333333333333333,0.0,5,0,0.0,minimize
privacy.identifiability_score.score_OC,0.26666666666666666,0.4,0.32666666666666666,0.05333333333333334,0.3333333333333333,0.09999999999999998,5,0,0.0,minimize
