,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.5361516357960354,0.5618856624489593,0.5512547007246312,0.008944245374143418,0.5552492232938432,0.009252832750621387,5,0,0.0,minimize
sanity.close_values_probability.score,0.2,0.2,0.2,0.0,0.2,0.0,5,0,0.0,maximize
sanity.distant_values_probability.score,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.05751543932324188,0.06499066041775851,0.06150583174932506,0.0026414321918524332,0.06135505353559402,0.003627790263193327,5,0,0.02,minimize
stats.chi_squared_test.marginal,0.19265672130363531,0.3817505278983602,0.23386899923393387,0.07397499651068769,0.19816717989501195,0.001608793289332111,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.25067939054711247,0.3334847725930987,0.2773604025891773,0.029482986560692755,0.2722208366855986,0.018036567238853163,5,0,0.0,maximize
stats.ks_test.marginal,0.36666666666666664,0.4,0.388,0.012927146286443564,0.39333333333333337,0.020000000000000018,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.25601092836137657,0.2915200165162379,0.27223894399026605,0.012212490040253812,0.2697887334717848,0.014452063690023886,5,0,0.0,minimize
stats.wasserstein_dist.joint,0.6260873089239688,0.7048925437285123,0.6642280444398725,0.03388782346333303,0.6638606914047704,0.07254165266153134,5,0,0.01,minimize
stats.prdc.precision,0.43333333333333335,0.6,0.52,0.06863753427324665,0.5,0.1333333333333333,5,0,0.0,maximize
stats.prdc.recall,0.0,0.06666666666666667,0.04666666666666667,0.026666666666666665,0.06666666666666667,0.03333333333333333,5,0,0.0,maximize
stats.prdc.density,0.11333333333333334,0.16666666666666669,0.13600000000000004,0.02048305532764963,0.12666666666666668,0.033333333333333354,5,0,0.0,maximize
stats.prdc.coverage,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,5,0,0.0,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.35777777777777764,0.5999999999999999,0.4586666666666666,0.09080816844750325,0.4066666666666666,0.12888888888888894,5,0,0.65,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.36444444444444457,0.4955555555555555,0.41917241379310355,0.044285603328229534,0.42015325670498094,0.037931034482758474,5,0,0.65,maximize
stats.alpha_precision.authenticity_OC,0.5333333333333333,0.8,0.7,0.09189365834726818,0.7,0.06666666666666676,5,0,0.65,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.004444444444444473,0.03111111111111098,0.017777777777777715,0.009216196157034489,0.019999999999999907,0.011111111111111072,5,0,0.65,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.65,maximize
stats.alpha_precision.authenticity_naive,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.65,maximize
performance.linear_model.gt,0.9791666666666666,0.9895833333333334,0.984375,0.003294039229342085,0.984375,0.0,5,0,0.16,maximize
performance.linear_model.syn_id,0.3177083333333333,0.6223958333333334,0.4614583333333333,0.13032702923266193,0.40625,0.2630208333333333,5,0,0.16,maximize
performance.linear_model.syn_ood,0.34722222222222215,0.6666666666666666,0.46944444444444444,0.12650330596373,0.40277777777777785,0.20833333333333331,5,0,0.16,maximize
performance.mlp.gt,0.734375,0.8098958333333334,0.7541666666666667,0.02811294108764188,0.7434895833333334,0.00651041666666663,5,0,2.99,maximize
performance.mlp.syn_id,0.5208333333333334,0.6666666666666666,0.60703125,0.05976207891622319,0.6458333333333334,0.10286458333333337,5,0,2.99,maximize
performance.mlp.syn_ood,0.37499999999999994,0.5486111111111112,0.45833333333333337,0.07176672601535455,0.4583333333333333,0.14583333333333337,5,0,2.99,maximize
performance.xgb.gt,0.921875,0.953125,0.9364583333333334,0.012391017972260748,0.9348958333333334,0.0234375,5,0,0.43,maximize
performance.xgb.syn_id,0.23958333333333334,0.7604166666666666,0.5229166666666667,0.1932804008896286,0.5078125,0.30989583333333337,5,0,0.43,maximize
performance.xgb.syn_ood,0.19444444444444445,1.0,0.638888888888889,0.261022443574078,0.625,0.125,5,0,0.43,maximize
performance.feat_rank_distance.corr,-0.303979930424608,0.5838403593598094,0.16278857810026365,0.3305231868115869,0.13118744195820053,0.5423703241174894,5,0,0.63,minimize
performance.feat_rank_distance.pvalue,0.0012136472217280582,0.699900468306687,0.25412775715172004,0.2801089489483542,0.09587220924982524,0.45603235696880123,5,0,0.63,minimize
detection.detection_xgb.mean,0.9800000000000001,0.9833333333333334,0.9826666666666668,0.0013333333333333196,0.9833333333333334,0.0,5,0,0.1,minimize
detection.detection_mlp.mean,0.44999999999999996,0.9766666666666666,0.8629999999999999,0.2065924597957158,0.96,0.008333333333333415,5,0,1.04,minimize
detection.detection_gmm.mean,0.41333333333333333,0.7000000000000001,0.5066666666666666,0.09957688263626031,0.47000000000000003,0.01666666666666672,5,0,0.13,minimize
detection.detection_linear.mean,1.0,1.0,1.0,0.0,1.0,0.0,5,0,2.07,minimize
privacy.delta-presence.score,0.5666666664777777,0.5666666664777777,0.5666666664777777,0.0,0.5666666664777777,0.0,5,0,0.01,maximize
privacy.k-anonymization.gt,13.0,13.0,13.0,0.0,13.0,0.0,5,0,0.01,maximize
privacy.k-anonymization.syn,11.00000001,15.00000001,12.60000001,1.4966629547095764,13.00000001,2.0,5,0,0.01,maximize
privacy.k-map.score,30.0,30.0,30.0,0.0,30.0,0.0,5,0,0.01,maximize
privacy.distinct l-diversity.gt,13.0,13.0,13.0,0.0,13.0,0.0,5,0,0.01,maximize
privacy.distinct l-diversity.syn,11.00000001,15.00000001,12.60000001,1.4966629547095764,13.00000001,2.0,5,0,0.01,maximize
privacy.identifiability_score.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.02,minimize
privacy.identifiability_score.score_OC,0.26666666666666666,0.3333333333333333,0.3,0.029814239699997188,0.3,0.06666666666666665,5,0,0.02,minimize
