,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.15108568252287294,0.20922553552032144,0.174378183065985,0.02047666329318839,0.1741401955718022,0.023473295265947713,5,0,0.01,minimize
sanity.close_values_probability.score,0.5354889589905363,0.8420084121976866,0.740956887486856,0.10778956650478888,0.7778654048370137,0.06361724500525756,5,0,0.02,maximize
sanity.distant_values_probability.score,0.0010515247108307045,0.0015772870662460567,0.0013669821240799157,0.0002575698993462858,0.0015772870662460567,0.0005257623554153522,5,0,0.01,minimize
stats.jensenshannon_dist.marginal,0.07527929592160615,0.0759852418588055,0.07573790039268487,0.00024008192395855374,0.07581165564429027,6.011257849553031e-05,5,0,0.05,minimize
stats.chi_squared_test.marginal,0.5274355019585217,0.6222323345367495,0.5676183249292965,0.042027504891712884,0.5393396713606408,0.08171472464542728,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.42448186239454605,0.43264611314849116,0.42798173672605316,0.0028262881422368873,0.4277997359944006,0.0032918738862211527,5,0,0.01,maximize
stats.ks_test.marginal,0.24995220342223493,0.2570260969314597,0.25270050664372434,0.0025288861700813957,0.2528916929547844,0.0028677946659019238,5,0,0.02,maximize
stats.max_mean_discrepancy.joint,0.02914297733182999,0.03147250076921315,0.03038452687531996,0.0008746428620226139,0.030833686712806303,0.0013072403390550318,5,0,0.93,minimize
stats.wasserstein_dist.joint,0.8815097724495076,0.8937936588377635,0.8878583576142864,0.004184519460162343,0.8892750802366294,0.004360764559699359,5,0,2.38,minimize
stats.prdc.precision,0.6540483701366983,0.673764458464774,0.6647213459516298,0.006830055705175583,0.667192429022082,0.007886435331230235,5,0,0.68,maximize
stats.prdc.recall,0.8420084121976866,0.9587276550998949,0.9054153522607781,0.04883378572370311,0.9303364879074658,0.09305993690851733,5,0,0.68,maximize
stats.prdc.density,0.2576761303890642,0.26482649842271294,0.2615878023133544,0.0031665737425027613,0.2628286014721346,0.006729758149316478,5,0,0.68,maximize
stats.prdc.coverage,0.0057833859095688745,0.007097791798107256,0.0063617245005257615,0.0005097455160269538,0.006046267087276551,0.0007886435331230287,5,0,0.68,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.03286014721345931,0.03859095688748704,0.036351209253417484,0.0019551134550876413,0.03678583946722758,0.0016649141254818645,5,0,0.17,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.002383456011216256,0.005117420259375893,0.003964248159831696,0.0008965340219416473,0.004100946372239789,0.0005082369435679412,5,0,0.17,maximize
stats.alpha_precision.authenticity_OC,0.9942166140904312,1.0,0.9987381703470032,0.002263832822461709,0.9997371188222923,0.0002628811777076745,5,0,0.17,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.08794251664914121,0.08967753242201193,0.08880126182965302,0.0006563962802665156,0.08880126182965309,0.0011391517700667375,5,0,0.17,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.00043813529617964253,0.0013319313003855582,0.0008727655099895149,0.0002916599237674315,0.0009113214160533234,0.00021030494216633944,5,0,0.17,maximize
stats.alpha_precision.authenticity_naive,0.9989484752891693,1.0,0.9994742376445848,0.0004398843462324239,0.999211356466877,0.0007886435331230235,5,0,0.17,maximize
performance.linear_model.gt,0.8233221775796681,0.8259636004241466,0.8245571794396334,0.001023492728541269,0.8243591166418277,0.0018411156577197163,5,0,0.4,maximize
performance.linear_model.syn_id,0.2501629299480344,0.666695236360776,0.48375402396823264,0.15520671032630423,0.5374951486439392,0.24298329934857205,5,0,0.4,maximize
