,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.06443020354032436,0.0715584388559257,0.06769189991297368,0.00231264126638375,0.06780880286507843,0.0013256220505246247,5,0,0.03,minimize
sanity.close_values_probability.score,0.9376971608832808,0.9518927444794952,0.9460042060988434,0.004686663448594409,0.9468980021030494,0.0028916929547844195,5,0,0.03,maximize
sanity.distant_values_probability.score,0.0015772870662460567,0.002103049421661409,0.0016824395373291271,0.0002103049421661409,0.0015772870662460567,0.0,5,0,0.03,minimize
stats.jensenshannon_dist.marginal,0.009933097085302718,0.010837412138415083,0.01054570831003844,0.0003162497051211501,0.010652853332954937,0.00010352305732156362,5,0,0.04,minimize
stats.chi_squared_test.marginal,0.08401893867542973,0.08697426223210829,0.08496816637949604,0.0010418237693490971,0.08455215235070572,0.0004962163929466828,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.5717605310094591,0.5759386377390783,0.573998169661032,0.0016457679720255742,0.5738507945993062,0.003049520674488604,5,0,0.01,maximize
stats.ks_test.marginal,0.8486760347959085,0.8603383997705764,0.8554153522607783,0.003883953555982517,0.8563234872383138,0.003011184399196787,5,0,0.02,maximize
stats.max_mean_discrepancy.joint,0.0005796304837421475,0.0005876623388618339,0.0005823879565215789,2.8680992846725074e-06,0.00058165161853641,2.6757395750628098e-06,5,0,0.92,minimize
stats.wasserstein_dist.joint,0.0184153259352111,0.020050912657094612,0.019689965558539694,0.000638150897497787,0.02001414583273868,6.839101699980532e-05,5,0,2.34,minimize
stats.prdc.precision,0.9292849631966351,0.9353312302839116,0.932807570977918,0.0022281409148703427,0.9324395373291272,0.003154574132492094,5,0,0.67,maximize
stats.prdc.recall,0.7531545741324921,0.768664563617245,0.7606203995793901,0.006327960037509198,0.758937960042061,0.012355415352260812,5,0,0.67,maximize
stats.prdc.density,0.8344374342797055,0.8525762355415353,0.8452471083070453,0.006170631560540135,0.8479495268138802,0.004942166140904369,5,0,0.67,maximize
stats.prdc.coverage,0.7289695057833859,0.7497371188222923,0.7373291272344901,0.007015332830334771,0.7373817034700315,0.00525762355415349,5,0,0.67,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.7907290571328426,0.8319838766211006,0.8139479313970774,0.015630867295485542,0.8166201336765897,0.02634069400630923,5,0,0.17,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.4011917280056082,0.41841920785138453,0.41221521205748335,0.0061186431002195115,0.41211005958640035,0.005485453908166793,5,0,0.17,maximize
stats.alpha_precision.authenticity_OC,0.5107781282860148,0.5291798107255521,0.5214511041009464,0.006597427265336035,0.5215562565720294,0.008937960042061044,5,0,0.17,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.851559761654399,0.8688863507257938,0.8609171229316992,0.0056066655002461096,0.8605327725201541,0.0029617946021732733,5,0,0.17,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.33629512793550653,0.360217315106905,0.3424500525762356,0.009150181163831258,0.336926042762005,0.005660708026638428,5,0,0.17,maximize
stats.alpha_precision.authenticity_naive,0.6083070452155626,0.6324921135646687,0.6177707676130388,0.0091261804815735,0.6156677181913774,0.014195583596214534,5,0,0.17,maximize
performance.linear_model.gt,0.8233221775796681,0.8259636004241466,0.8245571794396334,0.001023492728541269,0.8243591166418277,0.0018411156577197163,5,0,0.37,maximize
performance.linear_model.syn_id,0.8011972056749658,0.8231021908283042,0.8147190294758984,0.007721239797242395,0.8162402667057952,0.008498654193794253,5,0,0.37,maximize
