,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.12885802469086088,0.1377314814809501,0.1330246913575115,0.003304415602666856,0.13233024691306972,0.005401234567880386,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.4896347486855788,0.5694298582890045,0.5073540614968158,0.031091070917210608,0.49192886429137433,0.004347061981930467,5,0,0.02,minimize
sanity.close_values_probability.score,0.12885802469135801,0.13773148148148148,0.1330246913580247,0.00330441560267961,0.13233024691358025,0.005401234567901231,5,0,0.02,maximize
sanity.distant_values_probability.score,0.009259259259259259,0.27044753086419754,0.0628858024691358,0.10379075977422067,0.011188271604938271,0.003472222222222222,5,0,0.02,minimize
stats.jensenshannon_dist.marginal,0.00843578416566717,0.010196398864676515,0.009214589146236421,0.0006316784271964281,0.009036814281328423,0.0008862036787397783,5,0,0.03,minimize
stats.chi_squared_test.marginal,0.9894780961519617,0.9969157300683911,0.9933914061731188,0.002588193063842602,0.9934038627937168,0.0033727792802276113,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.9917478099055662,0.9933964058344258,0.992682434574615,0.0006033466797435561,0.9929544682992673,0.0008503358538874961,5,0,0.01,maximize
stats.ks_test.marginal,0.9495884773662551,0.9568329903978052,0.9537637174211246,0.002723936921450147,0.9535751028806584,0.004329561042524133,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.001019018303172318,0.0011051315020798786,0.00105865523778328,2.9018032003256415e-05,0.0010601494497963237,2.973699884747461e-05,5,0,0.23,minimize
stats.wasserstein_dist.joint,0.09893048471433075,0.10362213717689116,0.10106222015632156,0.0016312647024118619,0.10107866941750754,0.00205354942955073,5,0,0.91,minimize
stats.prdc.precision,0.8487654320987654,0.8707561728395061,0.8607253086419753,0.007743008459445727,0.8607253086419753,0.01041666666666663,5,0,0.32,maximize
stats.prdc.recall,0.8927469135802469,0.9077932098765432,0.8993055555555556,0.005089084088839855,0.8973765432098766,0.00462962962962965,5,0,0.32,maximize
stats.prdc.density,0.4027006172839507,0.40887345679012344,0.40532407407407406,0.0023322389490509163,0.40439814814814823,0.0037037037037037646,5,0,0.32,maximize
stats.prdc.coverage,0.7418981481481481,0.7554012345679012,0.7471450617283951,0.005459343503490333,0.7434413580246914,0.008873456790123413,5,0,0.32,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.9197601816375762,0.9559927983539095,0.9358530225627927,0.01317144489154919,0.9347807577692635,0.019863062296012535,5,0,0.12,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.5356481481481481,0.5607510288065845,0.544429012345679,0.008804919605352436,0.5422325102880658,0.007073045267489753,5,0,0.12,maximize
stats.alpha_precision.authenticity_OC,0.45524691358024694,0.470679012345679,0.461574074074074,0.005080888158380955,0.45987654320987653,0.002314814814814825,5,0,0.12,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8956532921810699,0.9200617283950617,0.9100720164609054,0.009120656145499938,0.9094393004115227,0.013786008230452618,5,0,0.12,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.6293981481481481,0.6463477366255144,0.640488683127572,0.005967197919899981,0.6425411522633745,0.004783950617283983,5,0,0.12,maximize
stats.alpha_precision.authenticity_naive,0.3557098765432099,0.3896604938271605,0.3773148148148148,0.011740064857023865,0.38155864197530864,0.008873456790123468,5,0,0.12,maximize
performance.linear_model.gt,0.9558714261812397,0.9569237077263574,0.9563898412246304,0.000341600390378106,0.956347303173669,0.00023456430727086808,5,0,0.31,maximize
performance.linear_model.syn_id,0.9459904047374543,0.9506879738553877,0.9487396473483877,0.0017925539334991923,0.9485440840112545,0.002890400060130527,5,0,0.31,maximize
performance.linear_model.syn_ood,0.9480696908609637,0.9502006600807095,0.9489740534078802,0.0006967743064662561,0.9488468387529497,0.0003737239862736663,5,0,0.31,maximize
performance.mlp.gt,0.9179429827225237,0.9234773506985386,0.9204447925676625,0.002280749387062438,0.9190502984528296,0.004058567542769009,5,0,25.07,maximize
performance.mlp.syn_id,0.8746875093808271,0.9200267189223817,0.9093517159146997,0.017411247404872543,0.9180538655523,0.003903936608065095,5,0,25.07,maximize
performance.mlp.syn_ood,0.8833281977222637,0.9287208120947973,0.9110466375359957,0.014973767303657818,0.91529149852181,0.003330103467094392,5,0,25.07,maximize
performance.xgb.gt,0.9973136801953025,0.9990861765529239,0.9982689712609856,0.0005635622527909177,0.9983015030964584,4.4213510299040415e-05,5,0,1.15,maximize
performance.xgb.syn_id,0.945268095600779,0.9509064816773396,0.9473233257216285,0.001982347953253656,0.94708201303647,0.001843703379471151,5,0,1.15,maximize
performance.xgb.syn_ood,0.9457543346413674,0.957766714557787,0.9510374553109026,0.003845300733456594,0.9504790968254498,0.0002512118185877821,5,0,1.15,maximize
performance.feat_rank_distance.corr,-0.15166918663928186,-0.0650207344871962,-0.10197587503008698,0.033451767699746025,-0.0857900020618168,0.05462728937093833,5,0,1.23,minimize
performance.feat_rank_distance.pvalue,4.378757421364235e-25,9.198848817530046e-06,1.8784184258084526e-06,3.6609302825056625e-06,4.859674460493908e-09,1.883836370509195e-07,5,0,1.23,minimize
detection.detection_xgb.mean,0.6396500003572245,0.6611926476051669,0.6500678280035437,0.007026572321084415,0.6483006383601966,0.004666021876428839,5,0,0.19,minimize
detection.detection_mlp.mean,0.5491398033836306,0.5756617137488569,0.5570120938357339,0.009482427601223784,0.5530587795067444,0.001333117212505619,5,0,9.87,minimize
detection.detection_gmm.mean,0.4806317336819845,0.5187520540409237,0.4972018604252401,0.014595067827211941,0.5010763620970508,0.023318946116255068,5,0,0.47,minimize
detection.detection_linear.mean,0.5561400641575217,0.5711211669810242,0.5646720589706218,0.006435556597796441,0.5679246774262688,0.012761845564700391,5,0,0.04,minimize
