,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.20836938398320054,0.3167829873096799,0.25880654016003707,0.044812670893925766,0.23711044243966192,0.08443665046647111,5,0,0.01,minimize
sanity.close_values_probability.score,0.32679738562091504,0.738562091503268,0.5163398692810457,0.15648101701067108,0.5294117647058824,0.2679738562091503,5,0,0.0,maximize
sanity.distant_values_probability.score,0.006535947712418301,0.0457516339869281,0.03398692810457516,0.014556246700209207,0.0392156862745098,0.013071895424836596,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.04861633155281311,0.050950934514127265,0.050279497953701124,0.0008432815801384451,0.050612683660869316,0.00014708284791464105,5,0,0.1,minimize
stats.chi_squared_test.marginal,0.39058709891066695,0.5506230331611704,0.4731785373873455,0.05765380877781746,0.45949811419698544,0.08290264007534293,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.5312741324889373,0.5911330769331391,0.5585684426419519,0.024576086207162815,0.5528680974868335,0.048618903713201544,5,0,0.01,maximize
stats.ks_test.marginal,0.6407952069716775,0.6623093681917211,0.6483660130718955,0.008268110200063605,0.6435185185185185,0.011437908496731986,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.013071895416541468,0.013071895421922365,0.01307189541889275,2.009907206861865e-12,0.013071895419067805,3.192730801959698e-12,5,0,0.01,minimize
stats.wasserstein_dist.joint,2.536667671086833,2.683996779620391,2.599600677047346,0.05891977854100623,2.5807653659838605,0.10877696977353324,5,0,0.01,minimize
stats.prdc.precision,0.5163398692810458,0.6143790849673203,0.5660130718954248,0.03373460889036324,0.5751633986928104,0.03921568627450989,5,0,0.01,maximize
stats.prdc.recall,0.8823529411764706,1.0,0.9725490196078432,0.04535778188992805,0.9934640522875817,0.013071895424836555,5,0,0.01,maximize
stats.prdc.density,0.21830065359477124,0.25882352941176473,0.2423529411764706,0.013191608691809539,0.24444444444444446,0.0013071895424836555,5,0,0.01,maximize
stats.prdc.coverage,0.20261437908496732,0.37254901960784315,0.2849673202614379,0.05631544896349809,0.2875816993464052,0.05228758169934644,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.023093681917211284,0.05882352941176461,0.039128540305010805,0.012924073408871969,0.04139433551198246,0.018300653594771177,5,0,1.93,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.0444444444444444,0.01952069716775595,0.019287432936379825,0.010457516339869244,0.039215686274509776,5,0,1.93,maximize
stats.alpha_precision.authenticity_OC,0.9215686274509803,1.0,0.9660130718954247,0.03660130718954251,0.9869281045751634,0.07843137254901966,5,0,1.93,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.005228758169934622,0.020043572984749347,0.01533769063180821,0.005353628776786961,0.01612200435729838,0.0039215686274509665,5,0,1.93,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.02440087145969494,0.007145969498910642,0.008928103511888925,0.002614379084967311,0.005228758169934622,5,0,1.93,maximize
stats.alpha_precision.authenticity_naive,0.8366013071895425,1.0,0.9398692810457516,0.057486623339336,0.9673202614379085,0.05228758169934644,5,0,1.93,maximize
performance.linear_model.gt,-0.4569314598657502,-0.11536756706197648,-0.21191806456207152,0.12749481173027438,-0.14665465680366754,0.09165896225475507,5,0,0.03,maximize
performance.linear_model.syn_id,-14.316298109297415,-5.112048683937241,-10.016167757124814,3.378118206231274,-11.15904104161038,5.111858862666989,5,0,0.03,maximize
performance.linear_model.syn_ood,-7.208018276886818,-2.1091433785049722,-4.8580394504063324,2.08147826229171,-6.119632953021622,3.6387375158806536,5,0,0.03,maximize
performance.mlp.gt,-1.7258291172003661,-0.1656716202768902,-0.7827438715609315,0.5445347440269571,-0.7555511200810684,0.577955498123913,5,0,13.41,maximize
performance.mlp.syn_id,-32.772302106539065,-7.651146357188455,-17.232579219218813,8.320690343618612,-15.354442326705998,1.436226226725422,5,0,13.41,maximize
performance.mlp.syn_ood,-21.938956171092347,-3.67072657192638,-7.8974347158271145,7.032222828934738,-4.6281076764491305,0.49235862493469096,5,0,13.41,maximize
performance.xgb.gt,-0.8180792090945906,0.14778717879993866,-0.3173624108929584,0.3851991665492428,-0.44836370474051446,0.698250191235275,5,0,0.66,maximize
performance.xgb.syn_id,-5.057853994669762,-1.3636881598343695,-2.85860353736281,1.4221108113895642,-2.0620128805170186,2.1916701481270247,5,0,0.66,maximize
performance.xgb.syn_ood,-1.0817883373749586,0.00107889408133921,-0.5898219832009757,0.4143569139187235,-0.727352690055698,0.703710156415466,5,0,0.66,maximize
performance.feat_rank_distance.corr,0.05928853754940712,0.23320158102766797,0.1715415019762846,0.06172085785278461,0.2015810276679842,0.055335968379446626,5,0,0.17,minimize
performance.feat_rank_distance.pvalue,0.12651766910267948,0.7146629598253967,0.30418167670898427,0.21503308023884415,0.1888380829020091,0.1478686377745024,5,0,0.17,minimize
detection.detection_xgb.mean,0.9933358964500832,0.9994873766500064,0.9967192105600411,0.0021083095960711595,0.9975650390875304,0.002178649237472907,5,0,0.12,minimize
detection.detection_mlp.mean,0.5,0.7891836473151352,0.6698705626041266,0.10987474192489723,0.721517365115981,0.17089580930411397,5,0,1.27,minimize
detection.detection_gmm.mean,0.26746123285915674,0.5862488786364218,0.4770985518390363,0.11638828257615558,0.529924388055876,0.12604126617967448,5,0,0.08,minimize
detection.detection_linear.mean,0.9073433294886581,0.9446366782006921,0.9230039728309624,0.012611055357771093,0.9175957964885301,0.010252466999871812,5,0,2.08,minimize
privacy.delta-presence.score,12.4999999375,26.999999730000006,20.4999998075,6.371812849417348,24.999999750000004,11.999999880000003,5,0,0.04,maximize
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0,2.0,0.0,5,0,0.05,maximize
privacy.k-anonymization.syn,1.00000001,3.00000001,1.8000000100000002,0.7483314773547883,2.00000001,1.0,5,0,0.05,maximize
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.03,maximize
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0,2.0,0.0,5,0,0.08,maximize
privacy.distinct l-diversity.syn,1.00000001,3.00000001,1.8000000100000002,0.7483314773547883,2.00000001,1.0,5,0,0.08,maximize
privacy.identifiability_score.score,0.05228758169934641,0.0915032679738562,0.06797385620915034,0.013458340053577775,0.06535947712418301,0.013071895424836596,5,0,0.06,minimize
privacy.identifiability_score.score_OC,0.0,0.05228758169934641,0.023529411764705882,0.021319616248758288,0.013071895424836602,0.0392156862745098,5,0,0.06,minimize
