Unnamed: 0,min,max,mean,stddev,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.0033374595591419,0.0447295631006796,0.0154316021477047,0.0170606664063096,minimize
sanity.close_values_probability.score,0.954,0.998,0.9876,0.0190997382181013,maximize
sanity.distant_values_probability.score,0.002,0.002,0.002,0.0,minimize
stats.jensenshannon_dist.marginal,0.0094224903413994,0.0114396661920643,0.0104338334255851,0.000816565889004,minimize
stats.chi_squared_test.marginal,0.4297585296738755,0.5418121904959369,0.4763453467319983,0.0473218473753714,maximize
stats.inv_kl_divergence.marginal,0.8782147971824095,0.9102084484241194,0.8922129279288153,0.0139316009684635,maximize
stats.ks_test.marginal,0.8766666666666667,0.8956666666666666,0.8869777777777778,0.0085459542084738,maximize
stats.max_mean_discrepancy.joint,0.0039633313393235,0.0039867276666103,0.0039767411333385,8.89125618768905e-06,minimize
stats.wasserstein_dist.joint,0.0768947404347001,0.1068081842968641,0.0919764796416715,0.0114155990658584,minimize
stats.alpha_precision.delta_precision_alpha_OC,0.7626666666666667,0.8481333333333334,0.8118133333333333,0.0312632691828605,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.4468,0.4956,0.4731466666666667,0.0185629499571353,maximize
stats.alpha_precision.authenticity_OC,0.524,0.594,0.564,0.0292232783924048,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9484,0.9714850574712643,0.96200091954023,0.0086442952824454,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.5485333333333333,0.6521333333333333,0.5865066666666666,0.0403470940713206,maximize
stats.alpha_precision.authenticity_naive,0.396,0.474,0.4455999999999999,0.031093407661432,maximize
stats.prdc.precision,0.994,0.998,0.9952,0.0017888543819998,maximize
stats.prdc.recall,0.932,0.978,0.9636,0.018729655629509,maximize
stats.prdc.density,1.0436,1.0792,1.06248,0.0154412434732439,maximize
stats.prdc.coverage,0.946,0.986,0.968,0.014696938456699,maximize
performance.linear_model.gt,0.7834334733893557,0.7834334733893557,0.7834334733893557,0.0,maximize
performance.linear_model.syn_id,0.7762853310856123,0.8471181739368188,0.8197956929526411,0.0298537669474611,maximize
performance.linear_model.syn_ood,0.7696004901960785,0.8477132352941176,0.8186570728291317,0.0326586381223726,maximize
performance.mlp.gt,0.4354021746471264,0.4354021746471264,0.4354021746471264,0.0,maximize
performance.mlp.syn_id,0.4396707075482317,0.442489334999212,0.4416015792080322,0.0011924647958393,maximize
performance.mlp.syn_ood,0.4176470588235294,0.4235294117647059,0.4223529411764706,0.0026306682088232,maximize
performance.xgb.gt,0.8990059523809524,0.8990059523809524,0.8990059523809524,0.0,maximize
performance.xgb.syn_id,0.9045792634393326,0.9619110128857674,0.9357102896093544,0.0204642340899242,maximize
performance.xgb.syn_ood,0.9056179971988796,0.9612272408963586,0.9364368347338936,0.0199490911096792,maximize
performance.feat_rank_distance.corr,0.0016161616161616,0.2133333333333333,0.1477171717171717,0.0899230928986857,minimize
performance.feat_rank_distance.pvalue,0.0016614853549945,0.980992250996092,0.2132726246767919,0.430408762937454,minimize
detection.detection_xgb.mean,0.78898,0.8644999999999999,0.8290919999999999,0.0269183221988295,minimize
detection.detection_mlp.mean,0.48244,0.50492,0.490742,0.0090846915192537,minimize
detection.detection_gmm.mean,0.48019,0.5153399999999999,0.490776,0.014185165843232,minimize
detection.detection_linear.mean,0.5664999999999999,0.6140399999999999,0.5871000000000001,0.0188716136035051,minimize
privacy.delta-presence.score,1.999999995,5.999999940000001,3.866666638111111,1.966384131852168,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,maximize
privacy.k-anonymization.syn,1.00000001,2.00000001,1.20000001,0.447213595499958,maximize
privacy.k-map.score,1.0,1.0,1.0,0.0,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,maximize
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.20000001,0.447213595499958,maximize
privacy.identifiability_score.score,0.554,0.622,0.576,0.0275680975041804,minimize
privacy.identifiability_score.score_OC,0.504,0.552,0.5172,0.0200798406368178,minimize
