,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.016041900909010354,0.0373136458324178,0.02270157448244838,0.007645781021120882,0.018911005840092893,0.00477433437661607,5,0,0.01,minimize
sanity.close_values_probability.score,0.9590429845904298,0.9983779399837794,0.986699107866991,0.014470466407092571,0.9927007299270073,0.010948905109488982,5,0,0.01,maximize
sanity.distant_values_probability.score,0.00040551500405515005,0.00040551500405515005,0.00040551500405515,5.421010862427522e-20,0.00040551500405515005,0.0,5,0,0.01,minimize
stats.jensenshannon_dist.marginal,0.02719197135791709,0.0274125921943959,0.02729060374017178,7.594722113231894e-05,0.027291120302658275,8.882740591333038e-05,5,0,0.08,minimize
stats.chi_squared_test.marginal,0.0,3.1495528720470925e-10,6.320498990239594e-11,1.2587583035486534e-10,8.228965122394224e-18,1.0696376203751287e-12,5,0,0.02,maximize
stats.inv_kl_divergence.marginal,0.33848093115210476,0.3997357765558479,0.35962463526830024,0.02241416372863298,0.3491167306919229,0.024892404250213496,5,0,0.01,maximize
stats.ks_test.marginal,0.6073938902406055,0.6089033072001442,0.608173380192845,0.0005197424363009173,0.6083175633053979,0.000608272506082641,5,0,0.02,maximize
stats.max_mean_discrepancy.joint,0.09763902533506853,0.10318234652373133,0.10024812920299528,0.0020528510703958286,0.10101814121671976,0.0029870938760552246,5,0,0.35,minimize
stats.wasserstein_dist.joint,0.46932619372632317,0.5018319773291107,0.4842816606766912,0.011801671928185913,0.47937081591730346,0.0166083944073655,5,0,0.86,minimize
stats.prdc.precision,0.9505271695052717,0.9586374695863747,0.9556366585563666,0.0030518877083904046,0.9574209245742092,0.0040551500405515695,5,0,0.29,maximize
stats.prdc.recall,0.2939983779399838,0.5194647201946472,0.41005677210056773,0.09189381582190448,0.4505271695052717,0.17072181670721814,5,0,0.29,maximize
stats.prdc.density,0.7686131386861315,0.7843471208434712,0.7773560421735605,0.006318834674735567,0.7793998377939984,0.011841038118410308,5,0,0.29,maximize
stats.prdc.coverage,0.021492295214922953,0.03527980535279805,0.025466342254663422,0.005073963445131241,0.023519870235198703,0.0032441200324411987,5,0,0.29,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.486058673826104,0.49514220991693936,0.49233604608887777,0.0034029944615197455,0.4943041455752254,0.0033522573668558486,5,0,0.06,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.05736685590700197,0.07169505271695054,0.06390375777237098,0.005680849513800913,0.06474722898080576,0.01048932143822634,5,0,0.06,maximize
stats.alpha_precision.authenticity_OC,0.7773722627737226,0.8183292781832928,0.7973236009732358,0.014241372872663664,0.7992700729927007,0.018248175182481785,5,0,0.06,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.28693123024862266,0.2947982213272926,0.29099719402261565,0.002542986857300748,0.2914729982940403,0.0014868883482020978,5,0,0.06,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.018329278183292774,0.0243579345769126,0.021719383617193878,0.002045668570552927,0.021978913219789176,0.0021357123546903445,5,0,0.06,maximize
stats.alpha_precision.authenticity_naive,0.8337388483373885,0.9075425790754258,0.8813463098134632,0.02654881677082421,0.8953771289537713,0.026358475263584813,5,0,0.06,maximize
performance.linear_model.gt,0.8087168954129954,0.8243096756782812,0.815706902201317,0.00593791849847454,0.8175405944940121,0.009394147848163836,5,0,0.3,maximize
performance.linear_model.syn_id,0.0,0.34303602125725585,0.26229939770900607,0.1317713583969734,0.3280748720385435,0.03063708941988419,5,0,0.3,maximize
