,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.005722712757434961,0.005953266307177906,0.005877643949826085,8.1888931378029e-05,0.005887614466734237,5.10540442267126e-05,5,0,0.01,minimize
sanity.close_values_probability.score,0.9963470319634703,0.9963470319634703,0.9963470319634704,1.1102230246251565e-16,0.9963470319634703,0.0,5,0,0.01,maximize
sanity.distant_values_probability.score,0.0009132420091324201,0.0009132420091324201,0.0009132420091324201,0.0,0.0009132420091324201,0.0,5,0,0.01,minimize
stats.jensenshannon_dist.marginal,0.007586584836538081,0.007779740528509829,0.007719885394442273,7.097274748039894e-05,0.007740412644542868,6.344200596288159e-05,5,0,0.04,minimize
stats.chi_squared_test.marginal,0.0,0.09040263712529166,0.07108876365067902,0.03557658644049457,0.08893968922702092,0.003938592845341177,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.6743636476381385,0.6963088689471166,0.6845383376617238,0.008209464447561323,0.6867974321686989,0.012835344629595569,5,0,0.01,maximize
stats.ks_test.marginal,0.6909921129099211,0.6935657949356578,0.6925031133250311,0.001002333799769952,0.6929846409298464,0.0016604400166044808,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.05937256104237226,0.06941998378292272,0.06336143504126171,0.0040018295541087295,0.061373849758979096,0.006855976323250211,5,0,0.07,minimize
stats.wasserstein_dist.joint,0.019869221214634997,0.021947064684308522,0.02090349927165116,0.000770445800322824,0.021041363008843267,0.0012484715890735618,5,0,0.1,minimize
stats.prdc.precision,0.684931506849315,0.7269406392694064,0.703013698630137,0.015351160832475423,0.7031963470319634,0.022831050228310557,5,0,0.05,maximize
stats.prdc.recall,0.0821917808219178,0.15799086757990868,0.12018264840182646,0.029101341834672674,0.13150684931506848,0.048401826484018265,5,0,0.05,maximize
stats.prdc.density,0.5240182648401827,0.5563470319634704,0.5417351598173517,0.01232788767368972,0.548675799086758,0.018812785388127917,5,0,0.05,maximize
stats.prdc.coverage,0.04474885844748858,0.047488584474885846,0.046210045662100456,0.0009313277650397795,0.04657534246575343,0.0009132420091324256,5,0,0.05,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.05929984779299835,0.076103500761035,0.06600913242009135,0.0060997639031050805,0.06429223744292245,0.008340943683409319,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.03080669710806694,0.038904109589041,0.033948249619482465,0.002714471801393992,0.032937595129375996,0.0014611872146117477,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.6684931506849315,0.9881278538812786,0.8991780821917809,0.11729184911799703,0.9452054794520548,0.043835616438356095,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8547336377473364,0.896366976329187,0.8810816144439195,0.013974909280388342,0.8851750380517504,0.0038964992389650677,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.1364992389649924,0.14210045662100468,0.1385570776255708,0.0021077762741285345,0.1375342465753424,0.0029223744292240506,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.7433789954337899,0.7680365296803653,0.7526940639269407,0.008786128563145718,0.7497716894977169,0.010045662100456654,5,0,0.1,maximize
performance.linear_model.gt,0.9832153663914429,0.9857183766497779,0.9841401412084819,0.0009130750043701089,0.9836287882341903,0.0010496809908051574,5,0,0.35,maximize
performance.linear_model.syn_id,0.9687910489772938,0.9841504822301492,0.9778783700433277,0.006256465866104754,0.9807695314943391,0.011439959029211244,5,0,0.35,maximize
performance.linear_model.syn_ood,0.966352870040241,0.9826577844498655,0.9759455477812514,0.005982200507552954,0.9760612181915103,0.00872062717624722,5,0,0.35,maximize
performance.mlp.gt,0.7684564020766874,0.9709671334521799,0.9250174946831802,0.07865252759754564,0.9678552300306498,0.01879603349596559,5,0,8.53,maximize
performance.mlp.syn_id,0.39990402358166016,0.9596820854444236,0.8447628200737117,0.22247016912692552,0.9570119472071058,0.011372937236013847,5,0,8.53,maximize
performance.mlp.syn_ood,0.4081310856737766,0.9614374179020454,0.8479025906147152,0.21992680721270422,0.959863222201372,0.010730713337123055,5,0,8.53,maximize
performance.xgb.gt,0.9971197300932007,0.9977022346281353,0.9974234925251766,0.00020641197604527635,0.9974217332832928,0.0002922296240696065,5,0,0.74,maximize
performance.xgb.syn_id,0.9802622834177769,0.9919579865239795,0.9882317799531977,0.004234309832062898,0.9893370394695689,0.0034940498530056097,5,0,0.74,maximize
performance.xgb.syn_ood,0.983835824941098,0.9939012948020268,0.9908958213163688,0.003710356198375098,0.9926142580590859,0.0029242509539003647,5,0,0.74,maximize
performance.feat_rank_distance.corr,0.3070235303600348,0.49116165784352606,0.41695089411539465,0.06976284065887932,0.43480919412900887,0.08335884884059175,4,0,0.36,minimize
performance.feat_rank_distance.pvalue,6.893925819394612e-126,3.127494584027976e-51,7.81873646006994e-52,1.3542448799832364e-51,2.9388911349109843e-90,7.81873646006994e-52,4,0,0.36,minimize
detection.detection_xgb.mean,0.9999824857696881,1.0,0.999995496340777,6.600816142172338e-06,0.9999974979670982,2.502032901752216e-06,5,0,0.14,minimize
detection.detection_mlp.mean,0.44202039156814915,0.900206417714393,0.6511938449990617,0.17880648496139015,0.7275323700506662,0.28817289047350975,5,0,4.66,minimize
detection.detection_gmm.mean,0.49339838618877846,0.5126390192031025,0.5012074810783761,0.006261566234668803,0.5,0.0,5,0,0.34,minimize
detection.detection_linear.mean,0.6278551322949897,0.6391618189779197,0.6313639832363795,0.004069231298927993,0.6305222993682368,0.0024594983424032213,5,0,0.86,minimize
privacy.delta-presence.score,4.999999975000001,9.999999900000002,8.999999915000004,1.9999999700000006,9.999999900000002,0.0,5,0,0.05,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.08,maximize
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,5,0,0.08,maximize
privacy.k-map.score,1.0,2.0,1.2,0.4000000000000001,1.0,0.0,5,0,0.04,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.09,maximize
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,5,0,0.09,maximize
privacy.identifiability_score.score,0.012785388127853882,0.0136986301369863,0.013333333333333332,0.00044739538680971214,0.0136986301369863,0.0009132420091324187,5,0,0.05,minimize
privacy.identifiability_score.score_OC,0.034703196347031964,0.039269406392694065,0.03616438356164384,0.0016938115973508135,0.03561643835616438,0.0018264840182648373,5,0,0.05,minimize
