,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.3129092514611294,0.37490100725844455,0.33460888092816493,0.021821063249776403,0.3234301696669765,0.016371863033522893,5,0,0.01,minimize
sanity.close_values_probability.score,0.08776716689404275,0.23829013187812642,0.20009095043201458,0.05733268808632215,0.2305593451568895,0.03092314688494771,5,0,0.01,maximize
sanity.distant_values_probability.score,0.002273760800363802,0.021828103683492497,0.009731696225557071,0.007302135993331168,0.0068212824010914054,0.010459299681673489,5,0,0.01,minimize
stats.jensenshannon_dist.marginal,0.006388786343484732,0.006899580792072451,0.006597721601965936,0.00018268397587873137,0.006563407318508252,0.00024165780288480394,5,0,0.08,minimize
stats.chi_squared_test.marginal,0.9411764260637212,0.9999985803792967,0.9882320505233055,0.023527812545650298,0.9999981979540865,1.0057097430848927e-05,5,0,0.02,maximize
stats.inv_kl_divergence.marginal,0.9583810617301561,0.9704089101015311,0.9669456667363316,0.0044283772551647685,0.9694159409302029,0.0025070089277206,5,0,0.01,maximize
stats.ks_test.marginal,0.8718133911136077,0.8745419040740444,0.8734558489152825,0.0009077087155938822,0.8737661503892145,0.00048150228713583765,5,0,0.02,maximize
stats.max_mean_discrepancy.joint,0.0009095043201442161,0.0009095043201443952,0.0009095043201442875,6.237964525081403e-17,0.0009095043201442628,6.472686969738461e-17,5,0,0.31,minimize
stats.wasserstein_dist.joint,0.34961408530793053,0.3576136125944157,0.35347717282641095,0.0026013920704779617,0.3537887705308085,0.0017518264972737896,5,0,0.69,minimize
stats.prdc.precision,0.07594361073215097,0.09004092769440655,0.08531150522964984,0.00501960699465089,0.08731241473396999,0.004092769440654842,5,0,0.24,maximize
stats.prdc.recall,0.9495225102319236,0.9618008185538881,0.9557071396089132,0.00505245817638241,0.954524783992724,0.010004547521600737,5,0,0.24,maximize
stats.prdc.density,0.020009095043201457,0.023374261027739884,0.02242837653478854,0.0012318328660909151,0.023010459299681676,0.00045475216007275984,5,0,0.24,maximize
stats.prdc.coverage,0.04911323328785812,0.058663028649386086,0.05475216007276035,0.0035295330444624377,0.05638926784902228,0.005002273760800362,5,0,0.24,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.31293011975140206,0.3329695316052752,0.3199454297407913,0.007561442888036044,0.3150522964984084,0.009216310444141063,5,0,0.05,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.09213278763074118,0.12232833105957253,0.10626648476580258,0.012647574619171984,0.10207670153099879,0.025375170532059954,5,0,0.05,maximize
stats.alpha_precision.authenticity_OC,0.7539790814006366,0.7939972714870396,0.7738972260118235,0.015590506475464215,0.772169167803547,0.028649386084583894,5,0,0.05,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9141292018838238,0.937048710751491,0.9212779058401676,0.008139064899409635,0.9192830596979819,0.0033045323631953893,5,0,0.05,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.002667879339093515,0.009246627254812734,0.005929968167348765,0.0020922201920489567,0.006033045323631914,0.0006669698347733233,5,0,0.05,maximize
stats.alpha_precision.authenticity_naive,0.9022282855843565,0.9586175534333788,0.9376989540700318,0.019145011930416952,0.9436107321509777,0.011368804001818944,5,0,0.05,maximize
performance.linear_model.gt,0.9947116188833446,0.9952948100112282,0.9949686072084353,0.0002119786413260657,0.9950094865250758,0.00029830190681234825,5,0,0.58,maximize
performance.linear_model.syn_id,0.9464001961231759,0.9521248641136649,0.9483960072006413,0.001987590552794147,0.9481412190313039,0.0011894582110695273,5,0,0.58,maximize
