,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.14445789265072914,0.16291280228825314,0.15277470136220397,0.006158647472847623,0.15132530954767304,0.005572145791027716,5,0,0.0,minimize
sanity.close_values_probability.score,0.7400555041628122,0.7983348751156337,0.7744680851063831,0.019204048199419135,0.7770582793709528,0.010175763182238673,5,0,0.0,maximize
sanity.distant_values_probability.score,0.0009250693802035153,0.0027752081406105457,0.0020351526364477336,0.0006922585359433748,0.0018501387604070306,0.0009250693802035151,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.004391414300514082,0.006164869104303018,0.005417565618413144,0.0006529796737212121,0.005711212322915293,0.0009317997143567496,5,0,0.02,minimize
stats.chi_squared_test.marginal,0.4876483059620582,0.6628553927009698,0.5940177505630911,0.08212373902174822,0.6586542405314663,0.16200774646242388,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.9167238726372506,0.9588954235374798,0.9409947998533399,0.016446908075632018,0.9449686334343131,0.0291317971498265,5,0,0.01,maximize
stats.ks_test.marginal,0.9226025285229724,0.9367869256860932,0.9307123034227569,0.004736660361226714,0.9323157570151096,0.0037002775208141436,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.0043404409191263454,0.00540825032578289,0.004936095984208374,0.0004548456209807783,0.00510005039280538,0.0009262707135436754,5,0,0.04,minimize
stats.wasserstein_dist.joint,0.008571898462449547,0.009318182219689747,0.008857999359753297,0.00026521701591177775,0.008842925460564782,0.0003006969739507148,5,0,0.09,minimize
stats.prdc.precision,0.8353376503237743,0.8640148011100832,0.8501387604070306,0.009120264602306184,0.8501387604070305,0.0027752081406106077,5,0,0.06,maximize
stats.prdc.recall,0.9528214616096207,0.9620721554116559,0.9581868640148011,0.0033302497687326825,0.9583718778908418,0.0046253469010175685,5,0,0.06,maximize
stats.prdc.density,0.6375578168362628,0.6830712303422757,0.663422756706753,0.01757783721952682,0.6621646623496762,0.030342275670675267,5,0,0.06,maximize
stats.prdc.coverage,0.7853839037927844,0.8307123034227567,0.8153561517113783,0.01570548782956833,0.8196114708603145,0.007400555041628065,5,0,0.06,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.7755781683626273,0.8078322540857231,0.7889485044711687,0.012691670207092831,0.786308973172988,0.02275670675300645,5,0,0.61,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.39981498612395927,0.4367560900400863,0.4178230033919211,0.013822351334836416,0.4217699660807894,0.022139993832870686,5,0,0.61,maximize
stats.alpha_precision.authenticity_OC,0.5282146160962072,0.5679925994449584,0.5472710453283997,0.01592194632669764,0.5402405180388529,0.028677150786309058,5,0,0.61,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9592182632088211,0.9829468244601104,0.9733907514327942,0.009601383618475942,0.9769710889236233,0.01762948313077506,5,0,0.61,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.22645698427382066,0.24230650632130757,0.23393154486586498,0.005169570073043625,0.2330558125192722,0.0037002775208140326,5,0,0.61,maximize
stats.alpha_precision.authenticity_naive,0.696577243293247,0.7335800185013877,0.7106382978723403,0.014689682324720994,0.700277520814061,0.022201665124884418,5,0,0.61,maximize
performance.linear_model.gt,0.8246795609793537,0.8337554685701128,0.8304513009440478,0.0032851096700985986,0.8315488525596745,0.0038951569575563783,5,0,0.07,maximize
performance.linear_model.syn_id,0.8196331261033082,0.8308964617391972,0.8263335635889171,0.004278226129670878,0.8285171540409854,0.006485532274157713,5,0,0.07,maximize
performance.linear_model.syn_ood,0.775506072874494,0.7894736842105262,0.7831983805668017,0.0052930481050360864,0.7841093117408907,0.009008097165991935,5,0,0.07,maximize
performance.mlp.gt,0.7344385601350832,0.7785133164479238,0.759670734515312,0.015685720955494132,0.767278762759997,0.018967303707114858,5,0,9.17,maximize
performance.mlp.syn_id,0.6737278379000692,0.7891050732980275,0.7635697290659299,0.04499151028890647,0.7848645329649244,0.0061785248292272055,5,0,9.17,maximize
performance.mlp.syn_ood,0.586336032388664,0.7885121457489879,0.7298684210526317,0.07293130938632113,0.7550607287449393,0.016599190283400844,5,0,9.17,maximize
performance.xgb.gt,0.9087612249597052,0.9135582162867449,0.9114014889861078,0.001710662797690166,0.9114859160334637,0.0024176836288278825,5,0,0.59,maximize
performance.xgb.syn_id,0.8360772123724001,0.8649934760917951,0.8521068385908359,0.01006223633356723,0.8498157955330417,0.011244147670581128,5,0,0.59,maximize
performance.xgb.syn_ood,0.7840080971659921,0.8364372469635629,0.8131376518218625,0.020009525014712287,0.8152834008097166,0.034615384615384714,5,0,0.59,maximize
performance.feat_rank_distance.corr,0.3138894818304682,0.42210369144466986,0.34836782621858925,0.03944471656979938,0.3446127590080018,0.031918071289993244,5,0,0.21,minimize
performance.feat_rank_distance.pvalue,2.2050148724114484e-20,5.984648959302261e-12,2.274863766849979e-12,2.764506477493641e-12,4.239576290579408e-14,5.286400560989988e-12,5,0,0.21,minimize
detection.detection_xgb.mean,0.8738400205761317,0.8836335681634235,0.8789940864995497,0.003530225135002109,0.8793093530203026,0.00531112137067824,5,0,0.2,minimize
detection.detection_mlp.mean,0.49527580067371163,0.5426725174697627,0.5227461697616361,0.01653605751923609,0.527270923104545,0.019518918926621276,5,0,4.43,minimize
detection.detection_gmm.mean,0.48106691660111944,0.5048534663087217,0.4925114686285239,0.009380538978069394,0.48897192369732,0.016772069468668438,5,0,0.31,minimize
detection.detection_linear.mean,0.5113025589070141,0.5404146575014533,0.5250330728543255,0.00946278027016444,0.5230218414782896,0.006081279994984201,5,0,0.04,minimize
privacy.delta-presence.score,1.4666666663407406,1.5714285710544218,1.5434368519195676,0.04073372501948304,1.5714285691836736,0.03519668534834475,5,0,0.04,maximize
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0,11.0,0.0,5,0,0.06,maximize
privacy.k-anonymization.syn,32.00000001,39.00000001,35.40000001,2.727636339397171,35.00000001,5.0,5,0,0.06,maximize
privacy.k-map.score,7.0,13.0,8.6,2.33238075793812,7.0,2.0,5,0,0.04,maximize
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0,11.0,0.0,5,0,0.08,maximize
privacy.distinct l-diversity.syn,32.00000001,39.00000001,35.40000001,2.727636339397171,35.00000001,5.0,5,0,0.08,maximize
privacy.identifiability_score.score,0.23311748381128586,0.24976873265494912,0.24384828862164665,0.005983704580498138,0.24514338575393155,0.006475485661424613,5,0,0.03,minimize
privacy.identifiability_score.score_OC,0.4246068455134135,0.44680851063829785,0.4340425531914893,0.0074558526104014375,0.4338575393154487,0.00647548566142464,5,0,0.03,minimize
