,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.20158855423563482,0.2717474332667229,0.22294356063588466,0.02512652314613366,0.214649214898944,0.011542317450968703,5,0,0.0,minimize
sanity.close_values_probability.score,0.32192414431082333,0.5679925994449584,0.49047178538390385,0.08654101923408303,0.517113783533765,0.022201665124884418,5,0,0.0,maximize
sanity.distant_values_probability.score,0.0009250693802035153,0.004625346901017576,0.0024051803885291397,0.0012548251587650818,0.0018501387604070306,0.0009250693802035151,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.005212812150263483,0.0071954290937792055,0.00629022614886583,0.0007673624403306396,0.00640803906618936,0.0013774271786040296,5,0,0.02,minimize
stats.chi_squared_test.marginal,0.8256051050819838,0.9917028081936091,0.8620496872006866,0.06486744358584949,0.8314401269304023,0.0030085201466443223,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.9728361411241794,0.9809447891859552,0.9780042021368649,0.0031457386252617043,0.9800544924409328,0.0044504074673321625,5,0,0.01,maximize
stats.ks_test.marginal,0.9131976564909036,0.9270736971939563,0.918963922294172,0.0064472314305047,0.9144310823311749,0.01310514955288311,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.016722171413976736,0.018155873448610194,0.01765482960855592,0.0005242506702842983,0.01780844318648167,0.0006181557112534403,5,0,0.04,minimize
stats.wasserstein_dist.joint,0.01888961778053507,0.020293830119346278,0.019901617157905917,0.0005257973919983173,0.02021218663883019,0.0003466403938131579,5,0,0.08,minimize
stats.prdc.precision,0.6466234967622572,0.6688251618871416,0.6532839962997226,0.0081574126494167,0.6484736355226642,0.005550416281221104,5,0,0.06,maximize
stats.prdc.recall,0.9861239592969473,0.9907493061979649,0.9881591119333951,0.002141690453800221,0.9870490286771508,0.0046253469010175685,5,0,0.06,maximize
stats.prdc.density,0.3565217391304348,0.38889916743755787,0.3705457909343201,0.011671076528662512,0.37280296022201664,0.015541165587419026,5,0,0.06,maximize
stats.prdc.coverage,0.5272895467160037,0.5550416281221091,0.5402405180388529,0.008987942868818575,0.5402405180388529,0.005550416281221104,5,0,0.06,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.6350292938637064,0.6708603145235893,0.6504101140918903,0.012513565624113333,0.6461301264261488,0.014801110083256352,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.31181005242059834,0.3465309898242367,0.32970706136293554,0.014197765489802318,0.3377736663583103,0.025100215849522045,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.5587419056429233,0.606845513413506,0.5896392229417206,0.018580773257004666,0.5985198889916744,0.02775208140610541,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8751156336725254,0.9186555658341042,0.9026631365168478,0.016335752981941645,0.9105149552883133,0.02241219815624096,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.12642614862781387,0.1578168362627198,0.1426456984273821,0.010060778691352799,0.14424915201973476,0.004502004316990549,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.790009250693802,0.8584643848288621,0.8098057354301573,0.02481945803919925,0.8001850138760407,0.009250693802035137,5,0,0.1,maximize
performance.linear_model.gt,0.8246795609793537,0.8337554685701128,0.8304513009440478,0.0032851096700985986,0.8315488525596745,0.0038951569575563783,5,0,0.07,maximize
performance.linear_model.syn_id,0.7759037531660141,0.8138191726149359,0.7989600122802977,0.012884021318030106,0.8045513853710952,0.009267787243840586,5,0,0.07,maximize
performance.linear_model.syn_ood,0.7444331983805667,0.7697368421052633,0.759919028340081,0.009528802599065463,0.7630566801619434,0.014473684210526416,5,0,0.07,maximize
performance.mlp.gt,0.7344385601350832,0.7785133164479238,0.759670734515312,0.015685720955494132,0.767278762759997,0.018967303707114858,5,0,9.06,maximize
performance.mlp.syn_id,0.6031736894619695,0.6955637424207537,0.6371555760227186,0.03355331851529779,0.6385754854555222,0.038126487067311365,5,0,9.06,maximize
performance.mlp.syn_ood,0.6199392712550608,0.6529352226720648,0.6362348178137653,0.013917648126428424,0.6324898785425102,0.02844129554655872,5,0,9.06,maximize
performance.xgb.gt,0.9087612249597052,0.9135582162867449,0.9114014889861078,0.001710662797690166,0.9114859160334637,0.0024176836288278825,5,0,0.6,maximize
performance.xgb.syn_id,0.6492823700974749,0.7688425819326118,0.7224844577481004,0.042968201567527634,0.7225803975746411,0.05226801749942456,5,0,0.6,maximize
performance.xgb.syn_ood,0.6371457489878543,0.7824898785425102,0.69582995951417,0.047776941807049216,0.6908906882591093,0.018421052631578894,5,0,0.6,maximize
performance.feat_rank_distance.corr,0.172989118996835,0.2900789420178797,0.2112054621082226,0.044313205336025396,0.1915084277399594,0.05530189891956047,5,0,0.21,minimize
performance.feat_rank_distance.pvalue,2.0423654022709929e-10,0.0001496332356243757,6.513530599348854e-05,6.922472218792453e-05,2.6976514856264278e-05,0.00014795331533041495,5,0,0.21,minimize
detection.detection_xgb.mean,0.9416833384631168,0.9462954342076765,0.9438678710258428,0.0019477700306846613,0.9432493188787433,0.003962494157746632,5,0,0.2,minimize
detection.detection_mlp.mean,0.5662405205875313,0.5912552224046145,0.579335144431905,0.008830083995502367,0.5784402786327417,0.012112181240951592,5,0,5.06,minimize
detection.detection_gmm.mean,0.4746135064350285,0.5370357545911563,0.49730321081700357,0.022190145287532652,0.48778820121290883,0.022344820486075445,5,0,0.3,minimize
detection.detection_linear.mean,0.5472940961891407,0.5658215562053281,0.555722041254859,0.007940784469652235,0.5503897994254642,0.014636718705470564,5,0,0.04,minimize
privacy.delta-presence.score,1.5820895520026734,3.483870966618106,2.438954897678624,0.6924644556955897,2.347826086446125,1.0568499529338269,5,0,0.04,maximize
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0,11.0,0.0,5,0,0.06,maximize
privacy.k-anonymization.syn,32.00000001,42.00000001,37.40000001,4.127953488110059,39.00000001,8.0,5,0,0.06,maximize
privacy.k-map.score,15.0,22.0,19.0,2.6832815729997477,18.0,4.0,5,0,0.04,maximize
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0,11.0,0.0,5,0,0.09,maximize
privacy.distinct l-diversity.syn,32.00000001,42.00000001,37.40000001,4.127953488110059,39.00000001,8.0,5,0,0.09,maximize
privacy.identifiability_score.score,0.12580943570767808,0.14338575393154487,0.13450508788159113,0.006290471785383903,0.13506012950971322,0.009250693802035137,5,0,0.03,minimize
privacy.identifiability_score.score_OC,0.3367252543940796,0.3635522664199815,0.35467160037002776,0.00971278797291891,0.35707678075855687,0.009250693802035137,5,0,0.03,minimize
