,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.009211216334831955,0.025483219164278533,0.016146020670463883,0.007291508164185895,0.011242709806401841,0.014379563278559741,5,0,0.0,minimize
sanity.close_values_probability.score,0.9636363636363636,0.996969696969697,0.9842424242424241,0.014520180061467792,0.9939393939393939,0.027272727272727226,5,0,0.0,maximize
sanity.distant_values_probability.score,0.0030303030303030303,0.0030303030303030303,0.0030303030303030303,0.0,0.0030303030303030303,0.0,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.011643522594126574,0.013398306165399892,0.012751317847547761,0.0006411856928294323,0.012747511653616622,0.0007769737310127402,5,0,0.03,minimize
stats.chi_squared_test.marginal,0.350569176389698,0.6018485316153221,0.42796481461723107,0.0988597569041752,0.35994609595967875,0.1233598597729944,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.817314820822928,0.9195835586098824,0.8754210847349728,0.03579734793706571,0.8920073510350842,0.04004979455353119,5,0,0.01,maximize
stats.ks_test.marginal,0.8871212121212122,0.8965909090909091,0.8918939393939394,0.003700507497521123,0.8924242424242425,0.006818181818181723,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.006060606060606061,0.006060606060606061,0.006060606060606061,0.0,0.006060606060606061,0.0,5,0,0.01,minimize
stats.wasserstein_dist.joint,0.03567251906801014,0.04675998589717373,0.04095950566504884,0.0036362127346094473,0.04148245647582561,0.002720967093137648,5,0,0.02,minimize
stats.prdc.precision,0.9939393939393939,1.0,0.9981818181818183,0.00242424242424244,1.0,0.00303030303030305,5,0,0.01,maximize
stats.prdc.recall,0.9787878787878788,1.0,0.9927272727272728,0.007323058165814897,0.9939393939393939,0.00303030303030305,5,0,0.01,maximize
stats.prdc.density,0.9315151515151515,0.9521212121212121,0.9476363636363636,0.008073127663198433,0.9515151515151516,0.001212121212121109,5,0,0.01,maximize
stats.prdc.coverage,0.9212121212121213,0.9575757575757575,0.9406060606060607,0.013360853142453675,0.9424242424242424,0.021212121212121238,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.9236990595611285,0.9628491814698711,0.9425496342737721,0.015242044730192816,0.934503657262278,0.02480668756530824,5,0,0.11,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.36303030303030304,0.41595959595959586,0.4002424242424242,0.0189831924542616,0.40828282828282836,0.00545454545454549,5,0,0.11,maximize
stats.alpha_precision.authenticity_OC,0.5454545454545454,0.603030303030303,0.5715151515151515,0.021733843729746814,0.5606060606060606,0.033333333333333326,5,0,0.11,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.837324973876698,0.8657122953674679,0.8550832462556601,0.009572864938759227,0.8571229536746778,0.005050505050504972,5,0,0.11,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.3561616161616161,0.4436363636363636,0.41418181818181826,0.030971060872534685,0.4228282828282829,0.024040404040404084,5,0,0.11,maximize
stats.alpha_precision.authenticity_naive,0.5303030303030303,0.6090909090909091,0.5812121212121213,0.02679034679430347,0.5878787878787879,0.00909090909090915,5,0,0.11,maximize
performance.linear_model.gt,0.4417109086053415,0.5410010699829776,0.48389179127222237,0.0348816423792632,0.47576097247421995,0.043674581976738236,5,0,0.02,maximize
performance.linear_model.syn_id,0.3532923279846148,0.4938517177798758,0.4342408457211384,0.05287232263297343,0.4607765826152,0.07941836693140342,5,0,0.02,maximize
performance.linear_model.syn_ood,0.20854722929431102,0.46206062143957083,0.379787944778055,0.09454661678304804,0.4371324628265527,0.09812971494802247,5,0,0.02,maximize
performance.mlp.gt,-2.5067657629648843,-2.289374828338623,-2.390108839670817,0.07718749750405553,-2.4128883679707847,0.09762708346048976,5,0,3.22,maximize
performance.mlp.syn_id,-2.5080513954162598,-2.2890215714772544,-2.3910479545593266,0.07792870800183839,-2.4160190423329673,0.09842507044474269,5,0,3.22,maximize
performance.mlp.syn_ood,-3.9990234375,-3.6690220832824707,-3.862873077392578,0.11651872426757094,-3.8681774139404297,0.14399385452270508,5,0,3.22,maximize
performance.xgb.gt,0.24319171905517578,0.36252619822820026,0.30430873235066735,0.044732612686809996,0.3185615539550781,0.07228940725326538,5,0,0.54,maximize
performance.xgb.syn_id,-0.31719130277633667,0.33551045258839923,0.042671938737233475,0.2545006978138533,0.16660132010777792,0.4280642867088318,5,0,0.54,maximize
performance.xgb.syn_ood,-0.3631223440170288,0.23496240377426147,0.0024354219436645507,0.19692582947040196,0.04971623420715332,0.023901045322418213,5,0,0.54,maximize
performance.feat_rank_distance.corr,0.4879500364742666,0.8783100656536799,0.7416840554408852,0.1460593486680443,0.7807200583588265,0.19518001458970657,5,0,0.14,minimize
performance.feat_rank_distance.pvalue,0.006249477882326372,0.12873504895794796,0.03794991013943933,0.04646584880216916,0.015074907310598048,0.0271911607816715,5,0,0.14,minimize
detection.detection_xgb.mean,0.9881267217630852,0.9937190082644629,0.991176308539945,0.0019473213263438785,0.990702479338843,0.002231404958677796,5,0,0.14,minimize
detection.detection_mlp.mean,0.5,0.5,0.5,0.0,0.5,0.0,5,0,1.7,minimize
detection.detection_gmm.mean,0.4871625344352617,0.526969696969697,0.49974104683195597,0.014460746015664404,0.49647382920110195,0.01187327823691453,5,0,0.14,minimize
detection.detection_linear.mean,0.6724517906336088,0.7155096418732784,0.6918567493112948,0.015715973130149313,0.6838567493112947,0.02134986225895308,5,0,0.08,minimize
privacy.delta-presence.score,3.49999999125,7.999999920000001,6.89999994325,1.7435595501444745,7.999999920000001,0.9999999550000007,5,0,0.03,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.05,maximize
privacy.k-anonymization.syn,1.00000001,2.00000001,1.60000001,0.4898979485566356,2.00000001,1.0,5,0,0.05,maximize
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.03,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.07,maximize
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.60000001,0.4898979485566356,2.00000001,1.0,5,0,0.07,maximize
privacy.identifiability_score.score,0.36363636363636365,0.4393939393939394,0.39939393939393936,0.026995221153115256,0.40606060606060607,0.036363636363636376,5,0,0.02,minimize
privacy.identifiability_score.score_OC,0.36363636363636365,0.403030303030303,0.3842424242424243,0.013740344301520763,0.38484848484848483,0.018181818181818188,5,0,0.02,minimize
