,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.0010592822612098907,0.0016733472721534993,0.001265696550077667,0.0002148696877707696,0.0011884814936016638,0.000129662082861209,5,0,0.02,minimize
sanity.close_values_probability.score,0.9988888888888889,0.9993333333333333,0.9990222222222223,0.00017777777777773783,0.9988888888888889,0.00022222222222212373,5,0,0.02,maximize
sanity.distant_values_probability.score,0.00022222222222222223,0.00044444444444444447,0.0002666666666666667,8.88888888888889e-05,0.00022222222222222223,0.0,5,0,0.02,minimize
stats.jensenshannon_dist.marginal,0.0030337229757039993,0.003630581388842738,0.003305283974177823,0.00020396643427529336,0.0033185681215684515,0.00022814644915846718,5,0,0.01,minimize
stats.chi_squared_test.marginal,0.7823149252773431,0.8516614533391783,0.7964741609196109,0.0275949831039232,0.7828986143129699,0.0005977306229200119,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.9859351795980905,0.9865550096895265,0.9863567230546538,0.00022277211855829682,0.9864481723934878,0.0001677558991670658,5,0,0.01,maximize
stats.ks_test.marginal,0.9656349206349207,0.9684761904761904,0.9669714285714285,0.001008824755470999,0.9668412698412698,0.0014285714285715567,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.0004444841147903926,0.0004448895939535101,0.000444712255080076,1.553702637728969e-07,0.0004446649811630357,2.4559445345679123e-07,5,0,0.01,minimize
stats.wasserstein_dist.joint,0.06035286920287834,0.062132050585278494,0.06112425977166722,0.0006336169153580814,0.061242745276244584,0.0007995692354828207,5,0,0.01,minimize
stats.prdc.precision,0.962,0.968,0.964088888888889,0.0020684580050168975,0.9635555555555556,0.0011111111111110628,5,0,0.01,maximize
stats.prdc.recall,0.9853333333333333,0.9906666666666667,0.9887555555555554,0.0019147252647589614,0.9888888888888889,0.0020000000000000018,5,0,0.01,maximize
stats.prdc.density,0.9381777777777778,0.9430222222222222,0.9411377777777779,0.0016246496298442602,0.9413777777777779,0.0009777777777778551,5,0,0.01,maximize
stats.prdc.coverage,0.9375555555555556,0.9473333333333334,0.9434222222222222,0.0038273866918419556,0.9442222222222222,0.00666666666666671,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.9223259259259259,0.9287111111111112,0.9260355555555556,0.0023165103123955443,0.9267407407407408,0.003274074074073985,5,0,0.01,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.4402074074074075,0.465748148148148,0.45795555555555556,0.009066167984349168,0.4613333333333334,0.0021037037037036077,5,0,0.01,maximize
stats.alpha_precision.authenticity_OC,0.5128888888888888,0.5313333333333333,0.5218222222222222,0.006503788069983467,0.5226666666666666,0.008888888888888835,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9806661558109834,0.9924556832694763,0.9884944061302683,0.004198729075089598,0.9893731800766283,0.003445721583652639,5,0,0.01,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.4384296296296296,0.45197037037037024,0.4440681481481481,0.005368048335803961,0.44054814814814813,0.008562962962962883,5,0,0.01,maximize
stats.alpha_precision.authenticity_naive,0.5262222222222223,0.552,0.5345333333333333,0.00916849140087405,0.5331111111111111,0.005333333333333301,5,0,0.01,maximize
performance.linear_model.gt,0.6969892222222223,0.7006202314814814,0.6988251277777777,0.0012151357583245813,0.6985125462962962,0.0011222129629628874,5,0,0.01,maximize
performance.linear_model.syn_id,0.6476499537037036,0.6641136944444445,0.6541389481481481,0.005853928668248009,0.6544923981481482,0.006670101851851906,5,0,0.01,maximize
