,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.01,minimize
sanity.nearest_syn_neighbor_distance.mean,0.007424645416897903,0.008099204973596522,0.007964283204774781,0.0002698188944696279,0.0080992007261992,4.490476077784189e-08,5,0,0.04,minimize
sanity.close_values_probability.score,0.9971111111111111,0.998,0.9972888888888889,0.0003555555555555756,0.9971111111111111,0.0,5,0,0.04,maximize
sanity.distant_values_probability.score,0.00044444444444444447,0.00044444444444444447,0.00044444444444444447,0.0,0.00044444444444444447,0.0,5,0,0.04,minimize
stats.jensenshannon_dist.marginal,0.053364993297255234,0.05374510997765036,0.053606021380813454,0.00014341700505297482,0.05368390479664407,0.00019517601350178132,5,0,0.05,minimize
stats.chi_squared_test.marginal,0.2757808325420821,0.28263330081803456,0.27858867382516883,0.002552690935242948,0.27814631456226496,0.00395649755837385,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.3740139854404218,0.45381415593480084,0.40388685096483873,0.032623299572487656,0.38478489213376615,0.05605240508548048,5,0,0.01,maximize
stats.ks_test.marginal,0.5124126984126984,0.5171111111111112,0.5147587301587302,0.0019235685322366765,0.5141428571428571,0.00371428571428567,5,0,0.03,maximize
stats.max_mean_discrepancy.joint,0.12573637557419406,0.1353834439125981,0.13162555614745033,0.0037271780987497955,0.1332825883054545,0.005966053547254796,5,0,1.27,minimize
stats.wasserstein_dist.joint,5.554756914558021,5.647375619206526,5.597134832757183,0.03375838034286041,5.6017947175128135,0.05055674921441433,5,0,3.72,minimize
stats.prdc.precision,0.0,0.00022222222222222223,4.4444444444444447e-05,8.888888888888889e-05,0.0,0.0,5,0,0.88,maximize
stats.prdc.recall,0.0,0.9933333333333333,0.19866666666666666,0.3973333333333333,0.0,0.0,5,0,0.88,maximize
stats.prdc.density,0.0,0.0002666666666666667,5.333333333333333e-05,0.00010666666666666667,0.0,0.0,5,0,0.88,maximize
stats.prdc.coverage,0.0,0.0013333333333333333,0.0002666666666666667,0.0005333333333333334,0.0,0.0,5,0,0.88,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.04479999999999995,0.05031111111111097,0.047152592592592524,0.002117749666233887,0.04691851851851847,0.003659259259259029,5,0,0.2,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.0017925925925924568,0.0024148148148147586,0.0021955555555555504,0.00022553578943988078,0.002281481481481551,0.00025185185185194747,5,0,0.2,maximize
stats.alpha_precision.authenticity_OC,0.9262222222222222,0.9866666666666667,0.9610666666666667,0.024253557712805674,0.9771111111111112,0.03977777777777769,5,0,0.2,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.009140740740740672,0.010903703703703749,0.009736296296296265,0.0006163675172522969,0.009599999999999942,0.0003703703703701322,5,0,0.2,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.0015703703703703331,0.0023259259259259535,0.0020533333333333293,0.0002539520277003586,0.0021185185185185196,1.4814814814800847e-05,5,0,0.2,maximize
stats.alpha_precision.authenticity_naive,0.992,0.9968888888888889,0.9954666666666668,0.0018887581654111986,0.9966666666666667,0.0020000000000000018,5,0,0.2,maximize
performance.linear_model.gt,0.04524272194583778,0.05169524065106538,0.047522240772932545,0.0023426808597552646,0.046568145438508034,0.0026378450742539084,5,0,0.03,maximize
performance.linear_model.syn_id,-3.872401510234178,-2.5390277481256986,-3.0579483124834814,0.44317548758108966,-2.9669620979244526,0.20105666144290169,5,0,0.03,maximize
performance.linear_model.syn_ood,-4.035258767574387,-2.688609461258284,-3.19957497191056,0.4533973808239064,-3.075640912495043,0.25642137809216337,5,0,0.03,maximize
