,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.31618668197584004,0.4274262206299088,0.3692169322104245,0.04089002145814461,0.38505812543488976,0.058095991410179126,5,0,0.0,minimize
sanity.close_values_probability.score,0.2222222222222222,0.4722222222222222,0.3222222222222222,0.08713548411865624,0.3333333333333333,0.08333333333333331,5,0,0.0,maximize
sanity.distant_values_probability.score,0.027777777777777776,0.1111111111111111,0.061111111111111116,0.032394177193585,0.05555555555555555,0.05555555555555555,5,0,0.0,minimize
stats.jensenshannon_dist.marginal,0.03988331972245409,0.04238551266523943,0.04125868704804105,0.0008391302913677748,0.041281644780657475,0.0008165241638048576,5,0,0.1,minimize
stats.chi_squared_test.marginal,0.21187185439909514,0.42398174457183596,0.3529945608228153,0.07729069266766518,0.35468894826072567,0.07168670581390468,5,0,0.01,maximize
stats.inv_kl_divergence.marginal,0.3945110219475628,0.5126837607034188,0.4553826698307798,0.040790591304102404,0.4700153867109001,0.04594098539856051,5,0,0.01,maximize
stats.ks_test.marginal,0.6547619047619048,0.6964285714285713,0.6833333333333333,0.015602859723283697,0.6924603174603174,0.015873015873015817,5,0,0.01,maximize
stats.max_mean_discrepancy.joint,0.055555555554657285,0.055555555555375905,0.055555555554890834,2.640351544883147e-13,0.05555555555483694,2.694650058643333e-13,5,0,0.0,minimize
stats.wasserstein_dist.joint,0.9434922372497059,1.040542460952051,0.9924800173715574,0.03373257046531611,0.990131024726715,0.044017089511626084,5,0,0.01,minimize
stats.prdc.precision,0.9722222222222222,1.0,0.9944444444444445,0.011111111111111117,1.0,0.0,5,0,0.01,maximize
stats.prdc.recall,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0.01,maximize
stats.prdc.density,0.6444444444444445,0.8,0.7155555555555555,0.06789607163312086,0.6833333333333333,0.13888888888888895,5,0,0.01,maximize
stats.prdc.coverage,0.8333333333333334,1.0,0.9,0.08164965809277258,0.8333333333333334,0.16666666666666663,5,0,0.01,maximize
stats.alpha_precision.delta_precision_alpha_OC,0.1722222222222224,0.4203703703703703,0.32629629629629625,0.0840944664451478,0.337037037037037,0.0537037037037037,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.03888888888888897,0.20740740740740726,0.13906768837803324,0.05892935927068555,0.14163473818646255,0.06666666666666676,5,0,0.1,maximize
stats.alpha_precision.authenticity_OC,0.75,1.0,0.888888888888889,0.08050764858994132,0.8888888888888888,0.02777777777777779,5,0,0.1,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.025925925925925908,0.12777777777777777,0.07888888888888893,0.033693527157167884,0.08518518518518525,0.029629629629629672,5,0,0.1,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.03703703703703709,0.009259259259259278,0.014344382763731194,0.0,0.0092592592592593,5,0,0.1,maximize
stats.alpha_precision.authenticity_naive,0.9444444444444444,1.0,0.9888888888888889,0.022222222222222233,1.0,0.0,5,0,0.1,maximize
performance.linear_model.gt,0.9126954732510288,0.9763786008230452,0.9532592592592593,0.023066754386339067,0.959238683127572,0.027530864197530924,5,0,0.19,maximize
performance.linear_model.syn_id,0.158559670781893,0.703127572016461,0.46620576131687247,0.19085655191184395,0.47528806584362143,0.24236625514403298,5,0,0.19,maximize
performance.linear_model.syn_ood,0.15625,0.6640625,0.45,0.1674574339571104,0.4765625,0.109375,5,0,0.19,maximize
performance.mlp.gt,0.3858333333333334,0.6166666666666667,0.5589753086419753,0.08694389129023443,0.6002057613168724,0.008425925925925837,5,0,2.95,maximize
performance.mlp.syn_id,0.3395164609053498,0.625,0.44938271604938274,0.10214005137392058,0.3972427983539095,0.11348765432098756,5,0,2.95,maximize
performance.mlp.syn_ood,0.31640625,0.625,0.453125,0.11078885287733148,0.4140625,0.15234375,5,0,2.95,maximize
performance.xgb.gt,0.883559670781893,0.932366255144033,0.9190905349794238,0.018183663912633496,0.9286625514403294,0.009218106995884767,5,0,0.41,maximize
performance.xgb.syn_id,0.23314814814814813,0.7838271604938271,0.4870699588477366,0.2186099359279826,0.41641975308641976,0.40257201646090524,5,0,0.41,maximize
performance.xgb.syn_ood,0.203125,0.8984375,0.5140625,0.2786949917696764,0.3515625,0.4765625,5,0,0.41,maximize
performance.feat_rank_distance.corr,-0.3706727779063413,0.3706727779063413,-0.09028267659897024,0.27130018964071784,-0.08441063259253316,0.344982585378179,5,0,0.11,minimize
performance.feat_rank_distance.pvalue,0.011980163979388675,0.9405047381380727,0.3094920845744018,0.3815379026319416,0.015812528564325485,0.5552026642314446,5,0,0.11,minimize
detection.detection_xgb.mean,0.8564814814814815,0.9143518518518517,0.8865740740740741,0.020652507428884647,0.8865740740740741,0.03009259259259256,5,0,0.1,minimize
detection.detection_mlp.mean,0.40277777777777773,0.517361111111111,0.4840277777777778,0.0411776863343711,0.5,0.0,5,0,1.04,minimize
detection.detection_gmm.mean,0.4861111111111111,0.5555555555555555,0.5111111111111111,0.023895347964007264,0.5,0.01388888888888884,5,0,0.04,minimize
detection.detection_linear.mean,0.5370370370370371,0.7407407407407408,0.676851851851852,0.0759682582981962,0.7060185185185186,0.08101851851851849,5,0,0.43,minimize
privacy.delta-presence.score,0.9999999995,1.8181818165289254,1.3265436308835483,0.29455812079157834,1.3333333324444443,0.37593984915766865,5,0,0.01,maximize
privacy.k-anonymization.gt,16.0,16.0,16.0,0.0,16.0,0.0,5,0,0.01,maximize
privacy.k-anonymization.syn,12.00000001,18.00000001,15.000000010000003,2.0,15.00000001,2.0,5,0,0.01,maximize
privacy.k-map.score,11.0,17.0,14.6,2.0591260281974,15.0,2.0,5,0,0.01,maximize
privacy.distinct l-diversity.gt,16.0,16.0,16.0,0.0,16.0,0.0,5,0,0.01,maximize
privacy.distinct l-diversity.syn,12.00000001,18.00000001,15.000000010000003,2.0,15.00000001,2.0,5,0,0.01,maximize
privacy.identifiability_score.score,0.25,0.4166666666666667,0.35555555555555557,0.05665577237325317,0.3611111111111111,0.02777777777777779,5,0,0.02,minimize
privacy.identifiability_score.score_OC,0.05555555555555555,0.19444444444444445,0.1388888888888889,0.052704627669472995,0.1388888888888889,0.08333333333333334,5,0,0.02,minimize
